Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|Q9Z2X8|KEAP1_MOUSE	99842	114822	113161	181405	116629	120973	105871	114055	92282	118339	120457	120982	65378	115104	160402	150577	121688	115474	114388	131016	112983	120457	90185	108365	104144	145918	129743	117360	108230	108018	119304	175171	120457	76103	107229	133417	191665	119854	112535	109239	115565	88720	129252	120457
sp|Q99LC2|CSTF1_MOUSE	164336	122653	154949	164176	162370	117432	132637	151636	122597	145907	146209	160356	120823	142375	148211	169343	161452	137461	140408	134715	145290	146209	147487	140592	137658	166090	145409	134632	132678	158858	139000	149737	146209	152861	165653	146408	182447	149616	131211	126585	138232	142379	126010	146209
sp|Q3TH73|TTYH2_MOUSE	137954	165533	147971	132402	160480	233831	145567	168055	141749	137833	156200	135136	117216	130853	125435	164634	209752	124991	160315	153454	207937	156200	171340	158292	168572	131472	161187	194300	152961	164679	125092	131911	156200	151630	59358	180861	126459	180280	210390	140333	150641	151336	165304	156200
sp|Q9QWY8|ASAP1_MOUSE	153359	146419	137099	126573	175792	112293	174327	142081	123561	161961	145174	125012	139207	146321	137867	161459	146852	141789	142127	160189	151272	145174	103637	288719	85670	84672	169956	175492	157422	235708	89166	81062	145174	122711	147317	120043	156389	151513	135989	127331	172910	149705	166604	145174
sp|Q8R3R8|GBRL1_MOUSE	151174	178472	133185	149823	109622	85008	142923	174385	77819	134702	136613	187025	156916	139972	149151	105946	137719	136811	102580	97672	183823	136613	157702	159698	131715	126792	100119	161268	137382	134733	118555	130325	136613	161879	125681	125418	126712	107317	165394	93393	132765	152984	162432	136613
sp|Q9WUD1|CHIP_MOUSE	100628	314832	65175	136564	116109	107191	185594	205005	290271	233655	165993	132728	154309	115830	199593	96410	176846	220484	218972	179059	104338	165993	210289	129845	147254	155139	160295	115754	149998	208074	130147	227511	165993	201545	129665	130504	131143	151739	91844	201304	188592	189189	235539	165993
sp|Q9WVP9|MX2_MOUSE	30911	35948	317372	332452	89000	51535	43341	33873	38447	39495	117449	31520	27995	405619	564883	106587	32553	21101	21249	85778	29003	117449	18716	23310	319179	198218	53041	34943	29677	25970	211806	276148	117449	22314	33238	339696	421460	52576	47130	25680	31016	32322	22173	117449
sp|Q9DBL9|ABHD5_MOUSE	119376	161743	114475	149472	220094	149975	164986	184201	186370	156104	158679	111113	94107	108201	179354	183052	128876	195617	199897	221742	129814	158679	144667	138983	157234	215758	204588	118326	122109	134613	129302	211262	158679	130368	37746	164101	203094	200064	148319	191420	153119	133498	168718	158679
sp|Q8R2M2|TDIF2_MOUSE	164278	144319	142028	161477	153264	183380	140916	151657	133261	135003	152081	173753	146551	145862	161166	143162	188470	121157	138664	132838	169382	152081	143282	145513	139636	167345	141156	165858	147201	160224	147754	157334	152081	137175	169212	154472	174088	138340	161108	128723	153041	159879	143493	152081
sp|P97868|RBBP6_MOUSE	117844	120943	133491	141270	128896	170265	129892	128715	119722	129184	132203	134399	106386	68012	143587	130994	165556	116390	150675	136580	135417	132203	123762	125373	125341	145653	121218	127056	126871	139958	136232	146530	132203	123883	158590	127563	142795	129551	122039	129284	132403	137551	127000	132203
sp|Q8CCS6|PABP2_MOUSE	162029	117436	177008	156589	157113	156087	103126	139251	107583	136953	144351	144438	72661	92378	108223	165409	198244	114714	196662	113609	160115	144351	124344	117101	159147	169740	119274	151332	144046	150696	152760	151098	144351	139571	141053	161649	133038	140524	157646	135855	145262	151375	133298	144351
sp|Q8C3R1|BRAT1_MOUSE	135024	97954	120157	137771	142990	111415	109479	118712	87413	113320	119803	121006	99951	115775	114138	130345	135653	94984	126091	125071	125100	119803	125487	120806	120615	109881	136143	121386	107565	112991	114854	129442	119803	150933	75715	112698	104032	151828	119026	98038	99625	154456	102115	119803
sp|Q91WE2|PIP30_MOUSE	116282	108321	89426	119418	116910	116449	136229	128525	105911	140181	116751	95512	98790	66356	116182	121707	133397	136288	132459	118852	116557	116751	151017	109198	104927	98725	140976	114183	130186	110253	90842	113079	116751	118770	89589	105555	135884	119644	107721	120873	124552	116092	117803	116751
sp|Q8CFQ3|AQR_MOUSE	164682	151322	168603	168340	158068	159232	168398	154775	146105	185050	162592	139880	142182	136745	139892	132422	170395	125678	139125	405403	134875	162592	173293	161454	148893	155091	169174	161666	115925	182141	141199	204315	162592	158847	190949	152993	171900	140500	165175	147548	181234	172130	157768	162592
sp|Q148V8|FA83H_MOUSE	134671	140868	142578	124399	134002	128034	141361	131332	160054	144722	136934	122238	142509	118720	138152	125921	164004	143935	139297	125700	130672	136934	139215	136942	131797	122469	143320	130252	142989	158667	123748	139669	136934	121702	150157	175485	107268	136790	130697	150884	133268	116920	151327	136934
sp|Q99J83|ATG5_MOUSE	156599	140388	113704	143522	137856	157371	131588	126714	168066	158500	141658	158956	109432	106846	146535	148986	164401	157863	127892	145301	147543	141658	150868	118288	143727	141263	186956	140667	145839	139421	101467	145791	141658	206895	102443	107500	113883	141435	162123	174846	104130	189937	109456	141658
sp|Q3UHA3|SPTCS_MOUSE	147251	108632	123318	136062	152756	121361	145759	125881	147641	136141	134132	133653	112216	131996	142530	143598	142982	149166	116141	137458	139661	134132	139592	108583	120688	135086	146624	130331	134748	143835	130969	146281	134132	165073	105042	116684	151863	125901	130610	145859	130747	146403	115768	134132
sp|P18654|KS6A3_MOUSE	107859	79480	95337	124583	123402	75972	128026	84671	87221	110552	102802	106337	81465	97047	113360	110404	87287	98641	83920	203663	78956	102802	87406	79830	78766	126051	95463	81607	113734	123154	104222	132228	102802	97340	77638	95195	174652	87014	71489	90888	109307	111001	89266	102802
sp|Q7TN98|CPEB4_MOUSE	169970	60319	43432	32100	433623	49321	51003	62143	25373	51657	102722	114609	67065	78652	94451	98248	128880	95772	113517	99803	113296	102722	104923	97280	105777	102447	88068	104365	120126	108644	91062	102676	102722	93841	72260	90910	94188	81405	120387	113781	113707	116325	122488	102722
sp|Q9DAM5|TPC_MOUSE	88903	95186	171820	71634	112700	85168	103833	96618	113293	87641	103222	80965	101446	148360	65884	113834	122342	88186	108386	113323	81206	103222	96091	99477	156527	85008	117876	94706	94745	85549	142733	74927	103222	93225	84036	162915	74504	128921	95308	99884	83837	82782	105956	103222
sp|A8C756|THADA_MOUSE	153542	125840	66487	156541	153060	125038	117404	137779	123595	163517	131774	146334	107163	66692	144729	161036	150004	113951	136356	147582	130870	131774	135825	92769	148312	132317	160047	115581	131903	142057	117102	138950	131774	151926	95998	64439	162507	136363	144786	116331	156885	159065	122373	131774
sp|Q9DC51|GNAI3_MOUSE	129286	141095	152167	102544	71210	136362	129615	139571	111668	170450	126783	182234	152117	170403	9513	11546	174872	145958	185588	10353	151050	126783	125679	130041	152855	79864	74625	132178	145320	192772	159561	78942	126783	131036	131223	170894	42182	42883	150998	142382	159692	141686	168914	126783
sp|Q3V4B5|COMD6_MOUSE	158823	150794	133114	99579	135715	105762	154762	128960	201801	142608	138080	149308	142132	149817	132983	122821	144095	120166	145526	131592	138217	138080	149654	129167	133621	124876	139716	117988	133505	174098	142157	130087	138080	147345	101211	140943	116942	122711	124947	141887	132964	164525	164736	138080
sp|Q3U564|DCP1B_MOUSE	89166	150300	144501	76180	73330	180463	156384	125448	162999	129098	124421	188584	87035	132641	175704	94794	157616	122167	86931	119417	106349	124421	74753	98121	166630	121816	108876	104962	124245	160002	129152	164932	124421	126804	73454	131453	161565	139237	95303	93185	131835	127838	123354	124421
sp|Q8CGR7|UPP2_MOUSE	90161	23375	141804	74327	77253	104359	83724	38559	56179	45461	76028	64005	60750	160305	132405	77158	57123	71105	38903	64155	79728	76028	64414	121875	42036	61414	52446	72108	42866	51288	142071	120196	76028	74615	140398	51725	104397	43226	91071	144630	44373	58910	57225	76028
sp|Q9Z1R4|CF047_MOUSE	147262	179175	193758	140110	180804	180429	138504	177358	122849	137653	161676	141785	179492	174361	134846	173032	185207	132232	165490	176819	145651	161676	144600	162835	215921	140952	176986	152934	146188	152983	197206	142900	161676	157452	94887	224302	114476	196948	137549	160774	138346	151767	192468	161676
tr|A0AAA9WW07|A0AAA9WW07_MOUSE	82060	113900	99066	109611	79656	111191	102434	98194	113258	106313	100755	118933	105169	117274	110430	101660	103351	93331	83859	104572	88601	100755	100310	87032	101960	119394	95070	87929	103615	93377	121936	94841	100755	114307	98250	99488	107204	88454	89149	89060	90888	128732	91579	100755
sp|Q8BX94|OSBL2_MOUSE	120721	121986	102916	114660	137071	120139	113929	123982	105989	128418	118850	173593	119695	100033	99085	137700	113125	107240	101497	148929	114359	118850	118584	122050	106585	108144	120668	124359	112459	129678	116934	128683	118850	127594	93503	122830	108401	117618	121323	109548	117781	126776	128169	118850
sp|Q9D0L8|MCES_MOUSE	159852	155941	212691	135787	123789	161672	138645	145514	176549	137744	155069	163785	129978	164112	133721	160675	180971	157312	144074	168389	147353	155069	103786	132382	233232	152889	132915	144398	143806	176485	181417	162995	155069	154677	209816	156393	124011	121206	166576	179965	149936	165078	157646	155069
sp|Q8VDF3|DAPK2_MOUSE	155085	121608	87606	127420	132445	82408	182975	116215	140059	166715	129231	167493	81091	103671	138396	127978	128237	154890	127169	131390	130566	129231	133112	100019	114059	129594	126302	127977	143154	148662	110105	152299	129231	153690	65063	96055	140534	117061	122188	125182	148720	162633	134779	129231
sp|Q91WU2|S22A7_MOUSE	120343	164553	285440	90936	87456	229833	77496	89796	108066	67791	135551	148658	46369	220991	82803	118832	194274	116156	124199	198687	102889	135551	117828	70122	483162	47052	165509	88970	66428	53625	234398	81970	135551	142231	154577	290376	70354	119819	127588	110467	92016	97248	130723	135551
sp|Q8K114|INT9_MOUSE	137280	118134	121310	130335	126970	123161	116708	117098	112693	116579	123024	145094	87565	125022	125309	146094	141307	111805	116982	105412	123534	123024	130910	105878	118150	133148	119754	128273	129400	118750	121755	119119	123024	126065	137290	120950	132616	112011	131090	101624	109813	134044	122217	123024
sp|Q91VR8|BRK1_MOUSE	136083	113571	113462	124993	162852	135936	135021	133786	119530	122274	129993	149286	118767	104251	93457	135424	154326	107947	133886	158198	135126	129993	149144	136880	126041	97821	139891	121327	151848	146187	114000	119316	129993	164173	111084	113802	114026	177102	114562	124867	120310	138438	114025	129993
sp|Q0VGB7|PP4R2_MOUSE	134798	141639	133242	111835	121157	165622	140608	131127	139643	138055	134199	150030	125900	128098	153680	129654	144241	125049	115466	119413	162371	134199	124305	124429	141968	146852	117669	131158	141786	138868	123961	148378	134199	125471	165921	138389	121172	96159	164425	144980	130130	139894	135987	134199
sp|Q7TPH6|MYCB2_MOUSE	106371	86897	115238	87657	125560	99291	105151	103920	110013	122860	105445	138101	63343	82909	69307	157102	105292	71572	96358	204971	86823	105445	103075	97519	98745	87756	121758	102492	100490	131635	116518	96840	105445	105046	94733	115653	88273	122502	98933	94629	107279	109522	108105	105445
sp|Q8R313|EXOC6_MOUSE	144909	135223	90336	139063	145876	142651	158042	140656	156701	139091	137577	130117	95247	85623	139263	148675	160296	143533	114526	243295	127107	137577	135630	130636	125474	126218	148777	127318	165507	169003	105921	141171	137577	133560	171633	104813	131037	129537	146367	155532	135417	144533	148746	137577
sp|P63087|PP1G_MOUSE	143473	159879	149862	98238	126355	117810	150963	123430	130155	154200	134191	146837	184299	136936	111580	138597	136004	128959	117632	134475	125550	134191	98492	126880	156971	113854	128700	143085	139928	181057	147154	116530	134191	124537	216510	132758	107554	97210	145471	128185	149210	139261	143853	134191
sp|Q9Z2E1|MBD2_MOUSE	118752	110769	124271	104039	117748	112832	153761	104749	141047	139867	120765	122436	113722	126953	129437	118904	125958	121999	113388	123557	116274	120765	72771	96133	138941	132605	117750	107952	130712	162288	126804	128206	120765	93514	139860	141918	115344	77965	142345	155784	128731	113045	118672	120765
tr|A0A338P6I9|A0A338P6I9_MOUSE	145022	176850	111957	175785	93811	199372	130240	159197	118431	162513	147221	175638	176226	128492	152739	105688	186247	121196	136680	95040	188178	147221	158507	160843	103701	186982	91383	175719	131347	145194	142426	153999	147221	149990	188093	102338	186041	96309	160859	121021	150018	162552	170262	147221
sp|Q9R0P4|SMAP_MOUSE	186045	134603	169449	174379	178050	148883	174494	135415	127987	132327	159079	191877	137733	183408	154359	168320	167592	165563	137265	147635	155083	159079	184328	147803	170781	146698	146996	144964	177593	164137	158845	144741	159079	190960	149351	191162	198328	168292	124112	151006	140820	154830	105556	159079
sp|P62141|PP1B_MOUSE	179399	184451	135894	140986	140801	155567	175260	155027	184831	179453	160701	166359	147878	156833	177238	138663	156858	178240	157133	150749	177789	160701	130814	119587	172735	169873	118355	167360	162455	249201	122950	178139	160701	154028	216177	162140	135748	128166	166134	186244	159625	166621	166341	160701
sp|Q6ZQH8|NU188_MOUSE	107036	107963	131863	170385	119128	135713	109404	133868	93199	131838	126279	124980	118629	143257	150246	108452	128752	105143	140464	99548	131944	126279	119395	101378	127975	135669	110495	124174	114757	138266	143457	142085	126279	112198	187722	131956	153929	105989	123977	103519	129825	118961	115043	126279
sp|P49312|ROA1_MOUSE	112493	124780	150387	93947	90415	241266	118199	101767	150307	133008	128395	105918	168194	115818	126896	91680	193081	93009	137614	81724	134112	128395	95514	127851	135863	144530	107645	143384	133573	151903	134490	111309	128395	97613	246818	117702	121919	103349	157049	141748	116575	121453	121544	128395
