Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|Q8C196|CPSM_MOUSE	863140391	812290214	1334682436	1180243333	894271648	1130812684	607121458	995227243	618085291	998000853	967989369	884437112	1492420269	1334179904	1010251187	910732451	977187903	546503283	859714091	767306698	1077395799	967989369	797147303	1165919474	874367914	1190190318	739758536	1046617273	780147937	827463464	1309507370	957621121	967989369	863179286	2033787177	959111385	1112702565	789660994	1062744293	626579581	980668351	859509948	822630450	967989369
sp|P16460|ASSY_MOUSE	228701706	260058689	372215224	225810037	339018632	339193396	277643871	346410575	271119461	366472169	299706583	208470584	471927205	318872934	191895407	355346351	273247828	249668780	299591471	326034783	319447764	299706583	247124721	376305265	296847341	252512713	336394473	317453042	319334546	335894485	355455895	198237243	299706583	239197079	464771913	321110811	243356793	319322996	345228888	277096356	366896287	237378828	280766827	299706583
sp|P12710|FABPL_MOUSE	348457568	351235648	201233533	313281300	289950381	188837131	352222154	304847977	359079947	280358374	297435007	394595503	49817923	240398228	357218281	319855237	218410746	432863921	354989993	351269908	221323127	297435007	382469785	147336943	308945352	250205259	366814463	233884951	325400349	283409571	266747134	395262109	297435007	302139722	17382964	267396770	306253881	305419617	260736438	357375824	295769446	346895466	384283569	297435007
sp|P00329|ADH1_MOUSE	233339952	186185173	206132174	172274552	236065799	163012838	437683612	184628213	334454974	241269631	232086106	230208778	171058649	246554390	164807120	259398824	190851412	359549764	191012740	217465835	314597360	232086106	176752924	188818772	204814635	203729619	209637204	304599347	422214585	230076256	258707029	165558059	232086106	183360429	127208515	214970015	253141286	194294019	290966635	333104072	255174313	250804255	204921057	232086106
sp|P10854|H2B1M_MOUSE_family	223894348	166560104	178954684	225449935	231771792	184960817	243716376	201003133	166397448	239019717	206806655	252371114	178203858	210545202	183930745	227655604	235381681	183406565	194996338	180574666	222762880	206806655	203502012	178615175	160166412	219547916	162598447	214868760	245563179	283455366	199513462	183538288	206806655	202694569	331722680	164327669	242967852	175523171	185152643	171207019	234603710	237128603	175833076	206806655
sp|Q91Y97|ALDOB_MOUSE	181819990	145151776	173401561	179296585	184388738	123192600	211052327	162199632	229206805	189354445	176211859	159509178	172105985	165809058	184179327	173687913	137523801	243971812	165765052	234497845	144628228	176211859	176004698	157276987	164667896	184911101	224940059	143066083	183767996	157874185	177218647	197424446	176211859	174357221	157442323	160176008	184481370	212426877	135579428	224385477	184134056	183157156	148334032	176211859
sp|O35490|BHMT1_MOUSE	126318268	130923166	149714876	71046057	178108275	114341838	143647106	111687263	138521517	127767710	127749449	97958629	197118830	136591015	75217677	137298893	89283542	133456832	104032926	184915362	161338366	127749449	93491231	209642975	142938592	94860545	187077880	163912270	100347800	84164600	154798548	81063635	127749449	100784851	150470277	140071810	78195915	189698532	165401370	124937369	118161273	108483595	116869787	127749449
sp|P32020|SCP2_MOUSE	99391281	166961017	88069998	188591638	109421297	154118246	107241807	161526140	146319839	92884573	132645171	83989595	93579331	84152482	226396951	101242425	120320752	148158441	155242140	205757712	89911843	132645171	144625211	112375747	129535074	106058438	215099232	100796554	91931948	95944027	89988265	244742148	132645171	133000422	60746748	114857380	89407130	253816065	86802589	183056933	85522787	88401868	200613064	132645171
sp|Q8R0Y6|AL1L1_MOUSE	107080136	112854942	74944297	152713075	160561825	106222530	135008375	108796967	125279361	136759905	121701720	98183032	104321186	76766007	119483419	169596750	101128927	133772987	116943634	152221827	148586136	121701720	123085601	112577650	80674062	149189380	153289956	149519080	138357081	107260983	74016779	122414283	121701720	110152173	68460380	87343708	139421999	145042951	162962140	131684667	141261547	109507602	113720821	121701720
sp|Q64374|RGN_MOUSE	140364227	102721492	93986693	114343047	154348433	51701692	135492486	104599221	123347681	117970587	114202119	153400305	28806217	95545910	102122787	169807729	84651137	143536393	134862579	120272849	97888539	114202119	127053836	87570350	70763611	121291210	129472730	108017096	154385641	117387981	105135127	117287238	114202119	107798134	9232587	75688876	150399174	139922008	96193958	134648235	121540994	148287847	110311133	114202119
sp|P26443|DHE3_MOUSE	124592064	130536598	115478874	92008405	117629357	119358323	88952308	86578794	96630923	93041621	107263575	134687019	90491087	109112825	98316583	118153621	123241698	91828515	86996356	112380133	122401682	107263575	109649845	141707637	101492195	117501303	106916084	108484939	90866418	94069728	104120595	96230286	107263575	119522304	110909545	95730835	89946717	98419356	123058534	102864235	88635813	116550922	127767745	107263575
sp|P10126|EF1A1_MOUSE	114111713	111905518	107281348	104331853	108217720	117858090	122747163	112522692	132281137	102330101	112463729	112857733	73354324	99041761	107145641	109773192	134224151	126210142	123614468	114418963	100446596	112463729	118514835	97062952	118935763	101358772	120772525	111148522	119822179	113677997	103177954	120981556	112463729	114302804	53199547	121280729	101211181	115293195	107704460	133394559	110647655	120149595	122125147	112463729
sp|P30115|GSTA3_MOUSE	128121080	91342564	69059259	92291928	147424016	35509063	131286998	117774740	135505574	112442698	104855769	116710479	61412968	78269315	54666609	160580518	55764976	162117125	145322465	145676533	46939112	104855769	177680625	103056151	54422344	90303053	181560659	54976317	132685271	91345132	92458458	62705499	104855769	125175655	35355106	58970590	98146091	150411031	49202975	133036054	110791166	150407073	107721195	104855769
sp|P35700|PRDX1_MOUSE	100568943	96479751	124213295	97683924	110451155	77870318	115346639	98413975	104233212	112901525	103922478	108162231	76846706	136397940	93396326	117196277	94788857	108743472	100725206	99492963	109991303	103922478	93140308	94408429	114787089	95087919	94464107	103475755	112649451	108430562	136139408	94319705	103922478	97330591	50130014	120705930	110063389	99471593	109061279	105877700	114846717	106325676	99746200	103922478
sp|P08228|SODC_MOUSE	89439908	89968363	101433323	96596623	91326783	85854005	97732367	91497819	110298643	97453825	94751757	98610276	71492832	94982190	77898119	99881332	87221567	114164151	107989952	98553482	85207071	94751757	102151091	76523650	116948241	85159744	98947964	88586321	102974262	88995267	105192899	85364497	94751757	89305844	53009793	110655314	90618726	102136728	95100920	113430647	99972518	86375086	92159424	94751757
sp|P16858|G3P_MOUSE_family	89767133	75643244	92146916	92324647	80281486	114144099	113704165	91095980	124139763	89267102	94717667	78844328	79387083	81757473	90586358	76045600	105289559	125556259	90429614	107931179	103171334	94717667	87225057	79197884	99168027	80362990	106578272	110560207	102415113	96380754	90385736	100927787	94717667	91439528	67837715	101870122	80427388	112082452	102937169	130239412	92142191	89614285	77931263	94717667
sp|Q03265|ATPA_MOUSE	79959474	111704852	111721352	95567591	96278065	118375514	93403240	111082659	98418079	106317358	101841193	81665446	130383069	115439365	100580116	94800444	97823335	86517645	106067369	96289414	108701897	101841193	83184891	113169518	109335196	108300344	94981908	106472067	95060645	95356546	112039268	105771991	101841193	81189577	135801051	110244225	93866204	101662327	98976988	97150483	101064358	78717774	132126559	101841193
sp|P56480|ATPB_MOUSE	76441720	105016458	108302682	97055651	92045975	101603924	85386437	105117612	85068727	99662280	95877970	79693964	121254262	112101106	95007624	91410618	86875880	85543893	97864775	94992457	98363566	95877970	79493075	104864719	93080071	101200401	97930714	102191878	84722097	88760081	116777320	95332285	95877970	81791946	128588367	100515437	88613687	100551080	95326098	84298164	101038781	81625809	109090949	95877970
sp|P09103|PDIA1_MOUSE	89088292	95593496	90157310	80942052	80001834	111211430	113063849	93617001	115088267	94869219	94588131	89119709	80644040	94462785	99970076	80341626	117322385	101362162	89833720	83372147	100414675	94588131	82834377	92443947	105938542	94492912	79902527	103876056	101975654	91685310	93574243	102668206	94588131	94602341	44513015	108004460	92372782	84911564	111041857	101897252	93480599	94305298	99237319	94588131
sp|P50247|SAHH_MOUSE	81541489	75038811	71777753	100376169	83281934	92058165	96054173	118521768	98173562	120401848	92304838	77656844	133427273	69493208	89136439	79166646	77725538	92750268	111353012	89467219	91134354	92304838	96404433	119399436	64466763	87685552	96291297	95817487	93632336	100074442	76724919	90950079	92304838	95619882	119776190	72901566	86963385	97211212	98424471	98661168	120036133	85455197	75754487	92304838
sp|P54869|HMCS2_MOUSE	103987197	83316392	97059062	89996525	106901092	67443585	83314677	94265189	78164030	113527423	92267700	95263419	144641920	99630297	121077464	91391537	67353555	76191927	76239144	113590669	71695595	92267700	73702777	126555851	62478736	97646213	109269850	76091288	70918812	91978936	95778795	122504799	92267700	85086187	139320879	71158111	91852657	111776279	74910177	80275046	105630464	100929102	82651590	92267700
sp|Q8BWT1|THIM_MOUSE	97940010	96279877	82731719	74785207	87688524	87016303	74758249	89218232	82953525	91234086	86242261	98429567	87061699	83257814	77621727	85461460	84451722	76460147	90396019	85466496	93187376	86242261	88561618	97085067	84882359	76971515	91077887	88131456	85091716	84930458	89889023	78822120	86242261	90727985	77469582	80293727	56750952	84136784	91949911	79212621	97984310	97855648	104388098	86242261
sp|P11725|OTC_MOUSE	83843739	90215720	105126961	75602781	75948666	107533938	76645825	79269847	67773734	79025586	84661327	83522610	93586155	104719363	75692405	72724911	82984670	63023448	79063529	68128980	130274490	84661327	81982535	93076044	82577229	83851221	66067674	119047793	75861664	70771691	103891901	71191715	84661327	85157637	94994561	85551815	72413601	69710891	129948824	63582105	79049244	83026798	88784753	84661327
sp|P25688|URIC_MOUSE	85675028	57358762	86640512	66488271	87783797	89739878	104987314	117675634	102336890	105598493	88438574	71494621	74080849	74202095	63654136	81975932	100077931	100759023	106566127	96612590	88804738	88438574	112477829	48994920	108455536	66295532	110499830	95373067	85645651	100549230	83546286	68710636	88438574	101096206	75331180	105717583	52410796	113750219	89234321	99690578	106402683	87348098	58346123	88438574
sp|P63038|CH60_MOUSE	84751745	88536691	96754796	76664210	73649344	97185078	65742324	72693008	62135088	74142508	80166681	89305265	97667485	101103516	86938124	72974594	90391418	56819144	66201180	65886098	87989827	80166681	76074653	95522438	80344758	81428323	66563321	85890051	70053274	67041515	99416215	82030331	80166681	78925977	109100955	84976914	78930384	70345313	82806321	63572018	73191676	81327951	85209126	80166681
sp|P24270|CATA_MOUSE	106217720	65362500	64373431	67970301	90022126	79444543	76005577	90866861	70748095	88364102	79697804	89292876	61273887	66927787	76053186	86118741	75861266	73314082	89182149	82812627	89212659	79697804	105922500	59355231	84378440	69793747	88333547	88107109	70025620	72632132	74981484	76909742	79697804	99293204	44052084	89511917	59523658	83117935	92558732	67266077	81499382	96172192	66925137	79697804
sp|P47738|ALDH2_MOUSE	70806567	70773483	59313233	92132335	63930713	57420799	72477622	75712004	75082174	75761305	71638758	72477153	74300100	62139840	89465591	63263979	55392904	82904807	80847392	73620313	59961132	71638758	70646184	60134010	59397381	91042544	68720075	58333486	77840118	77504747	59314326	86527552	71638758	74854645	74181030	59793207	81537136	63501971	64325460	75883446	76144202	74272851	75004618	71638758
sp|Q8QZT1|THIL_MOUSE	90098192	81466325	70596214	72721130	70715842	47910179	77508550	70035529	55897319	89822345	73126911	101287600	73963135	80989056	83854853	70583666	61555392	69376886	66157764	57202086	80407250	73126911	63868464	98402695	40513734	97582637	49765535	74543163	72394315	81580547	70371918	75504904	73126911	72728743	80362822	48981110	103910968	52421701	78212516	55275055	89253138	78302482	74923360	73126911
sp|P05202|AATM_MOUSE	71644704	79536449	88856572	69309956	67734923	80896322	59784881	70602142	57475293	61910257	71782029	72271042	73942641	80278487	69112614	66836958	76732580	60573024	68520011	70175420	82043922	71782029	76725988	77403281	74832451	69887248	65406785	75909429	62745899	67070921	79281125	67529966	71782029	75830059	75505809	79637657	65631004	73785764	68920949	58242912	65384856	71046312	79331357	71782029
sp|P17182|ENOA_MOUSE_family	68896516	52397556	71380597	57923447	62900191	51309562	83594405	51755560	76639213	59000873	63242249	63226062	63451218	71712326	51831049	62211711	55169738	81132445	51037604	84906691	61757496	63242249	69587463	62658756	61904492	53121160	85969308	59515534	62572411	58024725	70362745	52796936	63242249	64901999	53138726	61486356	57698659	87267779	54723172	71988680	56872534	70279731	49661662	63242249
sp|Q61176|ARGI1_MOUSE	58036019	51079593	71778161	73251802	64155496	59793411	55050019	55312323	58695210	69910989	62203177	56811974	67125877	75013769	69821557	61658230	72994827	52662243	54865226	60120504	55107114	62203177	52190846	62347253	72921810	65136527	55700524	55611581	52197251	62935434	72931496	71732604	62203177	55027309	97559895	68399792	71392777	56510328	62510221	55183367	62653009	54977005	51984778	62203177
sp|Q05920|PYC_MOUSE	63542981	53048018	48235856	70558990	56306094	53184563	55513407	51724293	51850196	55638423	56572327	61363552	75068368	48366163	69608510	50217196	56360482	53808543	45698942	64497315	52879242	56572327	48288884	73257005	44089361	76871848	62304153	50131611	49420619	49030856	44561671	65633540	56572327	52758876	84992274	44500713	75032707	59888969	55099145	49666487	51878309	54590717	48249867	56572327
sp|P24549|AL1A1_MOUSE	75979961	79971336	27889204	38787306	36562723	70070741	67858702	76079743	95831714	51647353	59657225	77495414	33667738	30160602	28297183	34688609	69502773	95372341	90007711	52383256	47336527	59657225	122532690	49892308	65682976	34825955	67213590	56998317	61123508	51253413	41395834	33277562	59657225	96609157	16351122	50401143	24599805	51118969	52449939	84737310	50036745	76552992	81901149	59657225
sp|P16015|CAH3_MOUSE	72463591	88946609	10163286	44075317	49920512	59238473	74736315	76009659	133781467	37096560	61403463	76431470	6068411	14289798	38051789	58133748	42873812	132317260	97152255	80434970	32350819	61403463	205375486	19071273	50396549	30997212	87449484	32691318	67733078	27864326	14026077	44072594	61403463	149988727	3405634	32226269	19977807	71887282	35548409	109254551	35725543	68904615	79585013	61403463
sp|P19096|FAS_MOUSE	53052946	33442314	44185869	49361180	96967382	20827599	129704651	22757621	95123192	42937531	57405174	58962001	6105925	48471579	27415894	89394979	40632935	128123283	28027870	125716602	45676967	57405174	50656551	22194813	45813038	88028956	122719545	49246708	69508468	49718697	48059128	28890581	57405174	43506102	5598308	34516851	84056700	97843062	61794697	93788611	46409211	56596643	34690012	57405174
sp|P06151|LDHA_MOUSE	56389819	48587679	49936059	55179521	49145069	49776100	61631386	47418373	64557247	52663732	53135883	51674795	35883640	46266655	70453006	46895446	74592374	62339686	41735952	56518524	43806705	53135883	49092291	49185845	49692574	44873319	59505961	48613024	61381917	50413308	48608440	74239336	53135883	54158588	31031420	48959508	59684880	61426890	45811795	64529244	53263014	55807866	48392937	53135883
sp|P09411|PGK1_MOUSE	52367943	51268916	44504689	51588902	49787326	49077655	58091553	51707877	57706472	51045206	51348177	51859906	54514545	48724970	54427734	46360282	48337151	59431079	50201672	53024233	48168580	51348177	54450684	52418492	50125828	40588213	58698327	53767037	53280550	50950126	48367118	53161946	51348177	49935405	51953030	51067501	46517416	53669237	48678204	56143996	53280530	51702952	52333870	51348177
sp|Q9ET01|PYGL_MOUSE	50156048	48100371	36326708	72879535	61554190	34022445	81526984	49790614	68852234	51276242	55293183	55082531	24682123	39842671	63006012	63098394	37400456	82850339	55711631	86303782	48315845	55293183	53257850	35893770	50099908	79548118	79202969	49327893	59781372	48437362	36387468	56757737	55293183	47936668	28695027	46380685	70398250	78668913	53125139	74502343	52243391	47436364	46079004	55293183
sp|Q8BMS1|ECHA_MOUSE	49467135	56687033	42936845	55499160	46237131	44036071	43217382	53923576	42861499	55665920	49265643	49697731	68288757	46318331	62224198	44474913	44153038	43187921	50674438	43156109	43272589	49265643	46484913	64513400	37370898	53576409	43581281	43866247	43664111	51619597	45072211	61114716	49265643	48197865	67804702	39903308	50900067	45591459	40939786	44104626	55968791	49250721	58157497	49265643
sp|Q64442|DHSO_MOUSE	48149465	42848944	31217735	71803771	51121084	38351848	61355722	44618856	68818051	37637225	49700685	51243991	26089310	32615632	64726522	51357937	36869966	84341161	52134076	53742734	40590030	49700685	57058170	37886800	34741079	55211725	51780489	44499641	74109157	40447451	31387585	67922810	49700685	55677750	16043891	39381168	62730501	61542109	38398464	74430991	42975595	50488360	44453458	49700685
sp|Q8VCT4|EST1D_MOUSE	57895415	46753776	22211899	41171621	55712123	24995954	64222062	39404503	51150747	65455510	45793382	66197969	17716339	34104935	34699491	61138773	32282972	63406728	47884545	49711682	51664669	45793382	64573616	34907696	35938905	41780447	46248497	48166962	63839926	52267314	31305010	33416321	45793382	57786860	8461428	35831256	30489929	41655052	44457963	53529906	63891655	62111394	49638903	45793382
sp|P97807|FUMH_MOUSE	32039830	48129119	49344899	56245288	33102864	49095853	34776538	50070798	37804711	43482580	43953263	29660887	109136686	42990316	47142617	30320213	46649518	33835738	39960781	32293883	32969825	43953263	35477410	82270980	44995942	47169274	33931155	35510044	34846148	38327548	43034239	46937241	43953263	34878816	118365950	49833790	46384722	37230288	31757419	37190221	41226885	29599661	43978143	43953263
sp|P41216|ACSL1_MOUSE	36680445	62924898	31354075	44806969	37857362	57129996	29942000	62970915	43087196	37180885	44281352	39973803	29654782	32062916	54452305	40908867	33589981	47472564	63718462	52332554	34975672	44281352	63775449	32230996	51096517	38016383	50956533	36738012	32123072	37378117	33873206	60868036	44281352	57312490	13609303	50756353	35531102	50690011	39363190	44492631	38728274	37285689	59788629	44281352
sp|O88844|IDHC_MOUSE	49708837	48503989	32440217	41191224	42759277	25932128	57903030	47009477	55373622	48594213	44252607	55858986	19471930	32497798	38796222	51866046	37710917	63958459	49656906	52090002	35758525	44252607	65227503	39237104	41999596	37494473	47073437	31732506	60956314	46407349	34813395	34153117	44252607	51799332	12512147	35727068	43232549	50850984	35755059	52785010	46207608	53329349	47509664	44252607
sp|Q99LC5|ETFA_MOUSE	47226927	42514773	43166976	40270924	39825226	36955861	36713681	37163951	33278701	42463614	40338030	48555442	51552292	44550142	44727618	39997881	38697631	32356826	35166336	34032203	41545351	40338030	39395953	49893767	35159382	47205503	31087659	39715719	37866777	36842546	41473536	43128476	40338030	43431564	57783309	39529777	41807607	33705045	35950771	32297553	42556492	41180292	41232634	40338030
sp|P49429|HPPD_MOUSE	37671809	33437623	45724918	40325587	43278629	32045174	42798971	41724872	37344483	57626730	40947022	35029041	73616549	44739608	35836191	43104802	29853537	34986037	41125259	36945939	40648518	40947022	32684280	59630547	33789311	41662472	34205790	39809110	43153032	46869127	43390955	36528080	40947022	35061225	53670499	35536069	46007274	41375353	38453865	35318600	57207551	40238168	34510149	40947022
sp|Q64433|CH10_MOUSE	38420295	43450424	49611665	42758377	41716057	53066176	33056990	35083392	27880742	37021176	40893103	44180349	50030999	51795155	43297077	38885014	47205650	27374765	31886305	32874460	49268701	40893103	36607181	51615927	36165285	47226309	32012348	44937039	34072508	33563390	51081413	42003523	40893103	38035686	58216672	43487522	47531318	34549404	41505517	29721677	36447729	38105071	44441732	40893103
sp|P19157|GSTP1_MOUSE_family	8880920	109734342	2688555	40410708	6865067	105470233	10563574	63391030	40640156	12578063	39166623	9757407	26919638	2607062	44692829	7713095	67482574	36742076	91286313	31146146	10428090	39166623	72275147	15235004	35921183	27837266	62543907	15918528	23729980	33475859	6592750	87245869	39166623	26581911	7793428	5432408	18535162	52309717	6680190	55395343	20764980	12454524	166817672	39166623
sp|P10649|GSTM1_MOUSE	42541292	49770156	29038057	26936048	24239330	34300608	56905913	54134578	58162496	56620538	41364092	36631345	35280045	26326616	23194479	24777489	31815820	69042754	74206089	29671747	31436807	41364092	51384172	30481915	54388272	27612225	32075309	32894798	58694893	66729169	28897249	27582113	41364092	37496562	23640662	51576106	26778327	27617846	21888607	57842580	54503487	45965464	59925703	41364092
sp|P08249|MDHM_MOUSE	44453028	44863198	49604064	41857076	35900785	46347385	33318917	40047254	33561760	40064323	41500990	42120281	66016198	47532215	44625495	34951493	41844303	32595031	36088975	33481623	42950107	41500990	37710008	53917775	42382656	44101683	32525089	43635171	34484642	38843112	45153945	42472303	41500990	39725692	85954715	41194642	39801224	31789891	41862570	33294018	38202962	40298729	41251647	41500990
sp|P08113|ENPL_MOUSE	38331169	42895755	38220231	40662144	40666492	51627353	40625046	38543933	34739228	36444700	40384973	43019882	25622144	36282234	44020197	41928709	62580596	35292825	34958833	34523345	40229259	40384973	39156180	33955991	48717695	39617550	35594166	42031909	42415383	40508055	35556115	46068976	40384973	45928267	16687198	49425565	40062051	37485488	45236117	36955798	38141409	38304979	43106382	40384973
sp|Q8VC30|TKFC_MOUSE	44456407	33924346	31085777	37466174	50938467	12880268	53779238	28606092	61801387	31911037	38247458	43428949	17045883	33410299	32609296	48549599	23355612	64912523	30463497	86419369	15781803	38247458	47098580	32897033	30458082	34437120	84522724	17494797	41432300	28653682	32777254	36483798	38247458	43355642	15320838	27141168	33052602	81682743	16325931	57062553	29178080	40842218	30138690	38247458
sp|Q9EQ20|MMSA_MOUSE	42478994	43314730	32951198	34578505	38366691	41633734	35399343	43609724	33053700	46228569	38919062	42089150	48579593	33446916	33977220	39474795	39190332	32475307	41022661	35539295	42311370	38919062	43050321	45991426	30000333	40748768	36136928	42434434	38151346	41798404	34155074	33911625	38919062	40121556	50349058	29747229	33832352	34389401	42351711	33419633	46081811	43352622	42639354	38919062
sp|P14211|CALR_MOUSE	34161310	39753842	37159391	40591647	39600014	51609640	36624601	40275855	36412773	28796417	38719835	36389459	20007746	34260392	43783035	37581887	56492982	34151040	41244059	36442118	36050713	38719835	44079537	29153141	46991508	33556504	40571176	39357157	37221867	33999418	36478816	45530446	38719835	46609401	12430686	50007240	35455788	44879804	39078333	37990013	29660043	36150987	40035234	38719835
sp|Q9QXD6|F16P1_MOUSE	35298175	24789618	38579826	39800241	37915243	33067445	54022729	42063929	52847852	54237548	40237865	30804214	43989972	40697676	36761990	36667294	36332103	45613052	41761340	47929953	41144947	40237865	29229071	41367270	36118119	42084810	45234285	39300144	46958021	47608338	42866800	34979222	40237865	35278448	34505525	37408675	43422711	45188972	45947128	48987878	52614629	37046790	26255422	40237865
sp|Q91VS7|MGST1_MOUSE	11848421	52783211	41446231	32521773	10996529	41688295	33507684	36460005	64960192	27105345	34134515	15486949	28971749	41079050	53065705	13947257	28746725	64035740	40038791	16385421	29613857	34134515	8046299	37153780	65868193	38834734	8319478	26927112	36010903	36506283	39240426	50515397	34134515	8743293	23367997	56323668	41247857	12486990	38825667	67127625	28899548	6690502	56930495	34134515
sp|Q99LB7|SARDH_MOUSE	38655657	30364061	25836856	44958569	41096341	38997166	44412355	29815703	32991195	36374123	36478020	36416670	48217106	29692545	43327484	37825676	32536849	34049559	27843104	32210039	51232731	36478020	28730661	42491985	22459664	50621962	30085725	47189938	45761992	31079324	27632107	37852626	36478020	34762448	53920432	22650039	44328623	32191683	47984459	35715068	37148000	37526978	30059336	36478020
sp|Q9DBM2|ECHP_MOUSE	46013434	31776442	39969176	42689904	41629006	31296801	39246038	24070716	29007236	41139983	37253188	38079522	32538775	42129533	83392308	38179913	26307641	31067993	20132894	34193532	47179347	37253188	28096395	25786863	27378046	41500675	32044090	43513403	24504146	31557705	38150208	78615850	37253188	30146988	43050692	33980055	45142348	30968878	54252596	27362859	38631110	42491413	28240279	37253188
sp|P34914|HYES_MOUSE	38260235	61941671	12556635	29793092	31461979	49150733	28048169	56836370	37149175	40877044	37720737	36142417	37851775	13191263	44160738	31788076	32224371	37381030	53689740	42702200	35212778	37720737	55897520	41121898	27145940	16086139	49445300	40549911	42736852	41051132	15777467	46059246	37720737	42917776	32546939	28273538	16586034	40315048	39013747	39155268	41410121	38720187	59418612	37720737
sp|P50172|DHI1_MOUSE	38605583	33536408	40978095	40708592	37764872	35869262	33633405	32477094	27938296	33802143	36183121	39576916	28660513	43604648	31653250	39163911	36227768	26570808	35522715	36277699	46530295	36183121	44408772	25559732	34762244	41536325	35427265	44912495	33430404	30937980	35865399	30726178	36183121	46273341	12915224	42797832	34950465	39961065	38931083	26362683	34420538	39318194	32215237	36183121
sp|O08709|PRDX6_MOUSE	33784939	35534637	36496952	44404275	36724632	21976936	39745110	40930793	35846234	37086916	36627248	33084609	30754641	39313782	41256246	39706414	24001652	42542262	42325181	43792761	29570418	36627248	32532688	35193798	33877835	43470222	40185369	32647654	34698944	36625827	34546249	41806437	36627248	33528630	21021027	35660845	51190511	40662627	34954956	35656578	37968178	33013038	34186195	36627248
sp|Q9R0H0|ACOX1_MOUSE	21783827	32632964	35805895	34638083	49075105	24556860	46575271	31349935	43301726	40362495	35530901	19230137	35024303	43344660	33273903	41151967	28285428	47827849	26494719	45200100	43545763	35530901	17196660	36522808	34528051	41242678	44472053	41307241	38893479	34685573	41941845	30634107	35530901	17925030	28505528	39295236	35619473	40631145	48425749	46050568	42623668	23694551	34705313	35530901
sp|Q91YI0|ARLY_MOUSE	22911218	30981148	50200083	28265334	36975194	35286751	39936538	40732056	34670974	46025749	36177431	21943359	73263869	49263236	26497706	33528533	29372284	30631618	33080356	35834535	36071636	36177431	21240678	54946006	34709608	34173697	37561689	37437808	37794164	33988298	51393096	26697846	36177431	22188194	97173928	36838904	34089635	34233143	42186496	33388971	43874866	21398108	28262832	36177431
sp|P62806|H4_MOUSE	36805264	27414949	29621076	28639625	28221250	26090175	36022667	26542533	28845990	38149533	30433294	40801933	27404900	32728161	30315324	30040796	32472670	26795593	27707582	26130657	32755480	30433294	27810435	25765376	25665007	33401582	25070232	29072758	37695824	38018938	32984110	28025324	30433294	30018283	49631286	27104558	35712745	23031653	28309887	24751610	35361668	32974431	25751176	30433294
sp|Q99PL5|RRBP1_MOUSE	36291214	35820113	30696757	29687832	26945675	56184790	34200936	28236247	41872408	27270006	34172875	42313095	18425794	30511109	38564497	29780925	59845559	29128089	26530152	29913550	32757306	34172875	37781690	27883595	47675858	29610123	28744683	37404295	37398082	29408846	31547255	34762919	34172875	45416007	8104061	40009507	27858333	28465404	39045997	43973303	24496807	38208286	35496476	34172875
sp|Q9D379|HYEP_MOUSE	22207579	51046531	36955164	23912323	32530498	33739980	31746142	39334543	30368844	32193890	33178475	18993849	40503767	42462526	28226213	28974782	20176755	33833370	44632403	47980577	22875097	33178475	29764972	37768618	46192398	24798716	49698292	22934001	26764766	32333719	40255667	26935377	33178475	24553044	18063820	53901025	22793677	47995297	20033070	30120527	30842379	23201466	46817428	33178475
sp|Q91X83|METK1_MOUSE	42218221	21537437	39420903	27340788	54622020	22792602	36539454	20945066	25954073	42017618	33584547	30925792	78867343	33009772	19323849	40776894	34104055	23821737	15445948	33747140	44055040	33584547	21475260	66294539	15438060	43112095	32443846	45895878	30340490	30044254	35010495	18533744	33584547	28706747	95701223	20154514	42469109	29741708	41373178	21834330	33605130	34520082	16842970	33584547
sp|P17742|PPIA_MOUSE	34297301	40924260	28380675	30565568	28659499	29498741	35247754	33481052	39046537	33042664	32956099	36771337	30447190	31219928	30718700	28491587	33782299	40950005	33969388	32658966	28557699	32956099	31861026	31677131	36487973	29026108	32020323	27995764	39344620	38932610	31456025	31947530	32956099	35270762	26419095	31672340	30332408	28368599	27890657	38958512	33638269	35139883	39795000	32956099
sp|Q8CHT0|AL4A1_MOUSE	35676553	31794714	28412068	25181986	42529157	26781129	31708178	32246187	26636238	37722205	31756658	37260761	43074412	29792435	21269451	40410692	28276246	27907257	28636609	31910598	34470889	31756658	32827825	46289789	22046887	31153841	31342756	34589605	35607380	31470734	30689849	22349904	31756658	27918012	46065105	26241394	31186775	33008456	32458233	28619360	37833568	31644835	30469096	31756658
