"accessions"	"AJ_F1_1_tmm"	"AJ_F2_2_tmm"	"AJ_M1_3_tmm"	"AJ_M2_4_tmm"	"AJ_F1_4_tmm"	"NOD_M1_1_tmm"	"NOD_M2_2_tmm"	"NOD_F1_3_tmm"	"NOD_F2_4_tmm"	"NOD_M1_4_tmm"	"C_F1_1_tmm"	"C_F2_2_tmm"	"C_M1_3_tmm"	"C_F2_3_tmm"	"C_M2_4_tmm"	"P_M1_1_tmm"	"P_M2_2_tmm"	"P_F1_3_tmm"	"P_M2_3_tmm"	"P_F2_4_tmm"	"NZO_F1_1_tmm"	"NZO_F2_2_tmm"	"NZO_M1_2_tmm"	"NZO_M1_3_tmm"	"NZO_M2_4_tmm"	"WSB_M1_1_tmm"	"WSB_M2_2_tmm"	"WSB_F1_2_tmm"	"WSB_F1_3_tmm"	"WSB_F2_4_tmm"	"B_F1_1_tmm"	"B_M2_1_tmm"	"B_F2_2_tmm"	"B_M1_3_tmm"	"B_M2_4_tmm"	"129_M1_1_tmm"	"129_F2_1_tmm"	"129_M2_2_tmm"	"129_F1_3_tmm"	"129_F2_4_tmm"
"sp|Q8C196|CPSM_MOUSE"	845538150.560275	849923649.801291	814327718.936539	846696201.842724	829488919.014664	801185115.256721	1650206038.76693	1221111650.4369	2301221861.78049	805352552.751689	1323906590.66616	1340937099.01344	830624784.837118	1313524787.06584	922603510.149966	1193498204.88193	979402326.13741	1202270335.09987	915731981.864977	1099948020.72169	879376656.214673	894112801.049436	774610962.443466	755064677.543438	804401894.066283	1098994205.21313	885484428.858503	1083075937.82663	1071877073.48202	1070689503.073	607798280.896412	619191868.951725	567059989.095883	782855909.868439	632503851.611306	1019773180.62607	1015233127.72135	883900893.981951	778702172.812645	1011751819.06551
"sp|P16460|ASSY_MOUSE"	224037734.229054	200335419.246277	252450845.141677	234629423.534584	229087642.199911	256503337.266571	521821593.907473	394118765.025658	525887516.173056	274869816.516568	369210064.438042	320487923.547576	281996576.955356	356546392.550026	308887962.346211	228346025.152952	186035721.025968	255075629.068836	189565768.163377	240567273.959261	333371936.446131	348861755.048307	329138423.668076	343354719.03651	325283918.989318	329649270.763363	247605088.203191	321131924.685479	325114677.929574	347809862.611196	277953390.168636	271604854.880415	259060064.355336	320442988.701071	279716284.654124	354954324.607708	372799968.294913	308020040.404651	316100682.005803	378525508.0396
"sp|P12710|FABPL_MOUSE"	341351384.627129	379197170.216593	390712916.432207	296370127.495409	334779074.719247	346433784.717674	55084910.7862297	154311564.090967	19668752.577322	376212372.48716	199608830.846814	241615768.230228	293489345.185907	267565483.337274	257218507.112981	316799645.224581	346310323.464343	252744755.214586	377972192.230606	302743393.284336	285120966.41126	314018306.441571	354613770.76798	374404120.729692	311121000.361579	183523686.667519	197914151.500062	222489964.747159	239529695.598063	262685736.422245	352614813.516987	359722819.364126	449146085.591331	326529846.720472	360754789.985351	312366641.186	285199264.172264	364977119.081961	266708632.266088	305144215.890473
"sp|P00329|ADH1_MOUSE"	228581391.304515	221225321.913058	180562368.930556	179859018.074899	242044144.862216	183639771.498094	189143783.039248	197757055.656134	143935913.763818	200617052.733125	204467921.616483	247803109.224188	194568109.607425	259500712.225591	206787338.277703	174209303.124137	159774597.416046	205797403.659353	158316066.925793	250239610.527583	232133886.202848	254665142.173099	219535969.367912	213974750.051911	197920978.846462	158426030.121666	172941102.763179	316255948.868594	311950762.776007	293141938.179264	438171544.49865	335053759.483916	373074218.573848	423680134.78436	336253550.093599	189181818.854528	245435583.915583	196386605.053263	216518176.637946	263262371.109743
"sp|P10854|H2B1M_MOUSE_family"	219328413.897408	242522815.251671	207887963.25007	198823957.53696	228846157.077786	164283003.562581	197044417.522022	187070441.828237	375342853.911805	172140013.313125	177509854.919662	211611546.19001	152153560.732826	200125546.212327	158072656.216214	227981878.98194	178314266.609406	221776250.863267	175509788.300027	240182791.262281	227911400.198883	223501193.510278	182293620.253485	165962726.995987	178799728.336233	179756443.264732	213292461.689468	223937308.269531	220054554.413522	186536867.459162	243988072.579546	166695354.696472	190305397.943993	246415553.780066	172825770.618896	205960604.170494	243146821.114973	200482275.7772	266751728.629318	242039757.997674
"sp|Q91Y97|ALDOB_MOUSE"	178112088.928402	153284638.221472	179798016.884784	171027733.379311	176759828.892917	143167356.173859	190301848.382984	164722148.87399	178145343.698912	145218538.082502	172001566.251001	166648827.911495	156429843.198227	177762333.300019	154079025.162035	181310197.953018	178555257.951132	186787884.25748	188788525.273322	182366720.608328	181317558.51672	170518340.738097	236730113.108394	229594232.239365	216392329.756363	119726242.410223	124617981.873375	145390722.539195	146518940.893283	136593036.865399	211287609.488162	229617161.305985	253148805.059279	184405873.412288	226507027.601559	166200067.154932	192623989.115258	170428610.147981	148570875.016332	189970407.345093
"sp|O35490|BHMT1_MOUSE"	123742227.591684	94135981.3598715	95506188.874102	98860285.376432	104694471.723991	129133270.392304	217959170.333857	219567032.641185	170256502.202623	114415143.883862	148506120.790195	137282804.857329	135787619.060459	155273452.030897	134740078.785593	71843948.7202248	72920842.6264906	95823346.4850843	77517675.3184093	77299580.8927349	175141702.931035	134793371.715725	186675636.877344	190948657.249032	193239706.154706	111124520.580119	80904794.2075621	162188958.064488	167868244.493796	166637931.456662	143807244.715348	138769516.521722	138476807.098506	100696117.424068	126118643.982245	114441878.702601	129973848.674751	106959740.75288	79204895.1346898	121906537.290553
"sp|P32020|SCP2_MOUSE"	97364369.4523346	80712062.1231148	147742227.479311	130460674.830048	85314160.8155034	164678435.543142	103472982.997907	117695378.581737	68734696.5850549	196399541.504618	87358945.9539092	84578687.4390373	123054656.10911	90264338.5829506	110485417.660461	190709640.220219	219483731.663081	107134894.198013	234036413.064799	88382285.4150663	107598775.483635	99394886.0638407	207716392.594927	219549791.379387	258554145.363359	149781711.567369	109029340.250179	90385867.2637591	103229249.225846	87451536.0788294	107361360.854462	146581800.108111	153731416.72037	92251053.1454729	184787724.81201	165509964.383131	94488391.7487512	159609651.35521	90290176.5984137	88233535.0483868
"sp|Q8R0Y6|AL1L1_MOUSE"	104896423.686402	94351627.4631371	125738387.772307	108048731.030164	105682712.129433	111312063.293625	115350518.003805	117906839.245235	77462639.6033177	111332316.343709	74339218.1203038	77154802.3027526	76638076.8527221	74243853.9122343	84019033.5039279	154428138.484981	115834893.350589	150703600.233742	117059525.444792	137823850.388186	157887506.665341	166501835.994621	153670880.528887	156461636.55459	147750522.555712	103233671.309861	91638557.8359623	149369497.027559	153127679.080569	164180465.466223	135158883.202606	125503652.664447	138804854.260214	138837332.505817	132929737.261343	111480297.450077	139121310.049646	120233672.706079	100940239.846191	145739002.380896
"sp|Q64374|RGN_MOUSE"	137501743.795005	147414152.275228	129792147.652812	105739644.247595	143108437.775803	101317151.171985	31851747.2824745	91715746.2435839	10446634.3801667	107994242.807911	93227871.2459339	96029819.5122562	67223428.742117	105457669.402666	72807834.1775763	115627191.037249	99004382.6985726	122522273.527156	112156752.337556	148675197.634218	151777604.944839	166708964.909864	121417768.882434	132151614.845467	142533984.978315	50246924.8105054	76707113.8197132	98404617.2059592	110624056.886271	96913116.1353079	135643533.892655	123568514.31569	148935510.510817	154921529.268464	135921325.610775	107179019.706738	120007560.774232	138656741.108145	110470467.692806	125393382.630465
"sp|P26443|DHE3_MOUSE"	122051226.506729	129431116.374655	112013059.3487	117239932.043841	112480022.511551	128751987.296317	100058235.152516	148415778.581105	125493695.958202	125084209.556158	114546530.506158	109665446.602815	96414714.3150106	104440024.935899	92086910.6361272	93041717.0181545	95314404.3057499	118693900.2914	92020892.7954646	88915687.3063949	115670122.006755	115997475.340256	113449919.32112	109128255.452354	100256587.29597	115999853.182542	111676172.238782	123046995.95706	111103191.139666	123978535.086193	89051472.6036387	96803924.4455992	95282642.0890708	91181824.5824265	103836809.885687	88714143.1800107	94648151.4641493	89443871.685444	88526327.4772148	91445232.1680976
"sp|P10126|EF1A1_MOUSE"	111784603.957069	108453676.398486	121069110.919002	112120102.482132	115953000.786676	110375619.195497	81109692.0544879	101657708.063119	60195069.5617051	119560124.344565	106415188.993129	99543375.8808306	112985610.48446	103494492.0224	116664266.568942	105503565.058058	103873859.670985	102387528.22534	115689470.099928	100051030.452917	106415245.266476	107769977.968269	115508157.666588	123271396.28333	117445416.622609	114541833.302859	121627985.080831	100976160.539301	113831058.933051	108509672.096772	122884002.324806	132517964.168944	130957533.051654	120238093.975071	134655796.182882	115297912.432093	104097013.730981	127092180.898432	106979107.980155	114154766.091338
"sp|P30115|GSTA3_MOUSE"	125508274.390307	112156076.374299	181510064.088454	122785327.88109	145153643.288524	90093788.4082209	67905839.0972579	107934612.502479	40004157.6487758	105458701.873621	68501694.2386898	78665724.0775448	51699687.3416053	92742109.8492067	56725917.5321065	93328424.1590308	52997318.5932463	91219597.5289825	59962577.6978893	97021074.5735276	144968521.059295	157650138.177573	147063279.555208	185317280.938289	153218810.532843	34509919.301142	50531753.1787621	47186579.7113148	56303154.2637074	49570822.6329314	131433357.587652	135748173.982086	168215156.238606	133145835.076207	134293901.540608	120679495.112262	114384222.855937	149410900.756262	85962288.1962773	114302825.845849
"sp|P35700|PRDX1_MOUSE"	98518015.0931225	103941407.359408	95147702.6507441	95471987.1751042	102611924.683324	95160743.1588173	84971305.291584	98877525.5256992	56721905.5429034	97651207.5346597	123210432.282081	137088751.994131	109044487.539034	136557067.948743	116111346.873352	98780975.6514191	90544391.4485476	96053028.2519738	90193886.1774228	108801768.498189	108611480.165084	115057601.588675	100440071.781808	96418638.0018788	101328466.801528	75679225.6144372	85893467.0037512	110571188.192927	105973111.955073	109876634.846361	115475228.173172	104419824.06781	112833854.735633	113040468.706367	106878767.008123	100841222.956559	114850972.327035	103558962.871432	102040897.153975	118486922.434037
"sp|P08228|SODC_MOUSE"	87615937.3204458	94762199.0853688	104352689.40615	87600479.0007887	83358170.4117037	88738374.5824784	79051394.2657728	80146118.6923751	59980363.6878071	90223778.34242	100614379.27911	95463244.4505351	111097520.805989	105515618.640476	106443300.235818	97681463.5801517	75519435.0989946	86024085.7344124	81630405.078249	89579993.2878026	89805643.7738962	98058631.191861	99491647.5291537	100995269.260725	104043352.883317	83438269.9489942	79036323.7224179	85656291.2333996	90724325.8386571	95811906.4456691	97841319.669741	110496114.203774	118458432.428485	103331696.140909	114503126.64795	93754489.2970524	99136540.0798499	111028091.912324	83750897.5295875	103141267.728196
"sp|P16858|G3P_MOUSE_family"	87936489.1382058	75767579.3006412	89104963.9553501	89693418.6345748	86484230.4221033	74609099.2086386	87780263.0317208	82946945.3070908	76758096.7058258	76294454.6925211	91402948.0807234	82171548.4835317	94206820.4593295	90663028.9779805	97992510.1573112	93361510.6138945	87820228.1602627	81178646.3523625	96512911.4093091	79505475.2501762	78944317.2804525	74657869.4421475	108958614.150984	108783453.876654	114174737.470182	110932345.502656	95408738.4111617	103715263.63161	113228545.12332	103706740.229327	113830923.13262	124362014.40554	130279054.26043	102770606.277837	131470817.466029	93342739.4801017	90808458.6237128	92973719.3955598	90701167.8731003	95062749.054631
"sp|Q03265|ATPA_MOUSE"	78328840.2103435	78478608.5807876	84977722.7911095	79639198.4725145	75968313.5889669	110177696.569363	144167787.24195	118526725.031894	153658333.058694	129351474.37947	110819345.667133	116024028.506918	103865343.408089	112382991.508259	106047859.038565	96640874.9062515	97508818.4415769	109399554.762898	101145215.806319	92790246.5134139	94674457.2030969	93070462.6067729	97206027.0633234	96947152.6807505	103560096.060647	115044698.176666	88643176.666002	109274984.315034	109041739.065147	99716952.4178117	93507366.5311876	98594280.0483962	89772003.8587609	95390610.171101	98069034.7191488	113822362.960407	108153117.87455	109051419.841638	89737315.0509386	104267714.915976
"sp|P56480|ATPB_MOUSE"	74882824.6579488	76584059.8850997	81206339.3959713	80230064.764929	78774776.5208035	103580741.902897	134073839.343325	109828794.308904	145497210.650893	106799686.614146	107428277.0337	112668862.291482	88423434.4708567	117135579.303474	96689390.2531016	98145646.7521066	92106487.1229777	102227549.814862	91162172.9767245	87597937.3917422	90512856.9093576	89742496.4004494	95896723.8699114	99956971.6191941	102428104.993129	98745022.3037247	78723077.4625951	98882148.5959976	104658248.960766	96038767.9047341	85481626.3477708	85221028.2746787	88761624.2038191	85016176.0190582	85095197.8496751	107710196.121568	101383128.016465	100618057.814109	83529570.7191809	104241327.222063
"sp|P09103|PDIA1_MOUSE"	87271491.9145218	85641983.2623542	84619654.3826722	92795835.2445104	91011395.3624371	94286604.4555757	89170111.5046715	96820049.078339	50366294.1777722	97153014.6797795	89429405.5921273	94941208.8301327	100638618.190086	93861317.9484603	103893349.058568	81851081.9424893	96917406.5207346	95451982.138207	98177199.4092242	91313943.1196114	78669323.1651702	78875498.7096931	84165796.0200005	81555768.3327101	86496640.240192	108082195.091	106312352.77791	100944071.248584	106383074.102136	111872019.89673	113189893.304235	115294313.221482	105174896.96115	102329621.870934	102860684.122114	95925938.0628148	96507306.2215624	92361060.7863403	86282419.9715976	96443579.5130331
"sp|P50247|SAHH_MOUSE"	79878592.7780675	74626434.586487	98482177.2899611	93793945.502591	82470411.3648201	74012929.6199576	147533838.969058	125051554.250988	135526268.464015	74163398.021365	71198239.8934544	69845168.8990944	61241601.2626242	76960302.1723495	70126621.0983716	101503456.249073	86414583.6437462	88575529.805694	86971657.4405487	85966552.2618867	81894789.8077734	77721960.5242211	90318889.1708727	98283633.8904299	99025890.4155509	89467859.0973019	70431442.5223189	91614823.4644955	98130013.9062021	99160304.7311895	96161254.8083032	98349325.2817563	96239066.8030447	93957343.3652333	99594003.1510062	121444947.550321	122480801.856058	114485766.704018	94177191.8867623	123840823.243147
"sp|P54869|HMCS2_MOUSE"	101866559.774199	91545946.7614805	75291246.7342292	83461399.6543236	97403842.6313836	82177344.9646584	159934151.794104	132546738.89001	157641004.025897	80915639.574837	96275434.8148745	100134892.627664	59353031.8484389	96072633.2588701	68449529.4404632	91007242.3456016	117380262.859734	98637288.0448383	117146082.011114	90799780.1417649	105120547.027179	89723763.6031958	114671978.842399	111530722.580901	113862849.023136	65545876.9984922	61032810.5758026	72073581.3753282	77927728.8871167	75470214.9101451	83407556.7364312	78303969.5738345	79057884.2576035	71164978.4123556	81034041.5214947	96590112.7455849	115487677.578603	78384021.2036477	86558742.9926637	108978549.161656
"sp|Q8BWT1|THIM_MOUSE"	95942694.5891295	94588541.9075457	90470331.0164359	88995463.105151	94437738.4669892	94963601.7049787	96266275.940741	101680869.94072	87656514.7708159	102195610.679368	82063766.6960661	83679488.2314167	80635839.9615771	90164792.1199796	77237404.885172	75625091.7167633	75251482.9587654	77752749.0626041	75374210.7181438	56100434.4646868	86227983.6288851	83901902.5823362	86280081.8705099	92962354.6499944	85707397.129262	84567863.5455326	76526412.7725157	93678669.2026101	90258482.8054804	92637340.1058539	74841589.9756024	83102039.3605898	79336193.3455935	85387078.0042155	79961571.3598025	91418679.3583128	92809406.1304158	92939179.249197	79925622.1693108	101090041.073813
"sp|P11725|OTC_MOUSE"	82133892.4111574	80263300.3171963	83749453.1662299	83531485.260643	80126831.6702122	88982349.8799015	103480528.463647	97482068.2212719	107485956.739042	86919986.336487	104278195.899331	105249733.121265	78446031.6673633	104210629.329173	82295347.6031363	76451847.5848756	73381074.4118778	84702281.6818139	68077581.8741749	71583547.660178	74683664.7459554	71397778.5779821	68777523.9101218	67434662.1731377	71012210.5353075	104508179.292537	75197035.1795906	130961310.191294	121920976.518542	130920337.761325	76731270.2574371	67895071.49313	65394073.2789065	76124987.5545769	64183269.8120663	81224930.8602698	80390104.4809952	81287866.159295	66601211.960369	81554805.2827428
"sp|P25688|URIC_MOUSE"	83927835.4711125	68704680.521683	114901993.114445	99165694.8089803	84297196.9743937	56574590.6474171	81913028.7333166	51314236.4960822	85236921.6652413	57120665.9092354	85941001.2161806	74577904.9075077	103029691.29125	83802596.3368893	101693520.362466	67234975.9286487	61710403.9756669	66968408.5543573	65705032.5015576	51810028.2483379	86321669.7614545	80479980.8095979	97532279.4902227	112786151.76068	115873637.306764	87214803.3834159	90686191.7762358	89272925.4950419	97674867.9600327	89901448.0132769	105104354.531201	102520107.021617	104549070.904103	85942935.7689627	100633146.157946	120577944.796442	107421840.380983	109564209.671066	94624001.2787301	109775244.575728
"sp|P63038|CH60_MOUSE"	83023381.2149987	85820298.2952975	77714242.2902718	77418823.6864458	78487322.1277336	87326275.4625328	107993356.084725	100044269.369444	123447283.779944	83419459.0558133	95973625.3717811	101615573.011283	76325247.3678263	99721212.4424825	81742329.7901023	77525197.0973779	84283396.0220059	82254792.1111813	78442085.2176151	78025630.915664	72422640.2614569	71642905.1969571	66513291.1213353	67940564.4696546	71658475.5304319	94450512.5087415	81908702.405867	88453718.20243	87962982.1541282	83425391.4763605	65815613.9645701	62246330.4440614	58956394.5530359	70296436.0418902	64173087.4401144	74485882.996911	75422711.3811345	68063653.7160819	63090850.1346853	75511574.5888423
"sp|P24270|CATA_MOUSE"	104051595.154153	85808392.7522639	108205381.219305	97397122.5435485	92813082.3464893	64468906.7939054	67752053.7923775	62164982.8352326	49844752.6389289	65519492.8976997	63853698.2775531	67266754.8612466	80157131.1660593	75211518.5155319	86104711.2108386	68733650.0538269	73730838.6637522	70502129.2179306	73545485.70612	58841357.8458988	88522717.1455804	84547189.0826045	83600949.7507889	90161232.261635	84669528.8901128	77209155.5287197	68742121.7457427	89682997.0955106	90233548.1977864	93250712.7282655	76090308.5048591	70874757.587176	76071789.19636	70268686.0520424	67902073.5361031	93107969.5689932	89889866.7091101	91691158.7858708	68352019.7145706	84082603.3665024
"sp|P47738|ALDH2_MOUSE"	69362590.7592386	69648871.094598	72168776.9020665	73425236.9579979	71678643.1983533	69805914.3852675	82155459.991938	62980627.5956318	83935531.6504655	73429278.6930818	58834354.8730253	62454558.4391888	56425831.761495	59496295.4879007	57517222.2163993	93167038.8296787	86733684.7134614	91966594.1050153	82742584.6624418	80602502.5731067	62865882.8143459	62109495.9415503	74321130.8554473	70141943.2767936	64687386.2802728	55805109.239213	50194597.999699	60277253.1082111	59741347.5514887	64806365.2338445	72558420.5179913	75216596.0280368	86023269.0558536	78110308.9697162	76600919.219132	77579338.4613505	77069459.8147813	83121915.5449544	72937498.1711511	78557684.4671637
"sp|Q8QZT1|THIL_MOUSE"	88260796.7682334	97335045.6506095	65244980.9531632	71339930.7208301	75567526.9396011	80352570.8665826	81782869.4493117	103060871.679796	90930203.9820926	73349727.3736144	70026240.3023628	81399239.6968955	38486901.2779193	70587810.9004951	47116679.7973539	73537833.8392066	81294275.2683057	98573066.7705864	72202099.4151035	102719870.680692	69537998.6813192	69295608.4372553	57746612.9329082	50795220.0737453	53400276.6946551	46562096.3018165	55778771.8830175	80831165.0951688	76342240.3449413	78797242.6120841	77594957.028802	55997393.7658399	71986495.6761227	72645603.0333993	55797677.1757054	71762860.861677	91373288.8899805	68019016.2701974	76773116.8468172	92082124.0297221
"sp|P05202|AATM_MOUSE"	70183635.4192794	69450803.1811112	78379615.1050796	74382024.6641202	68564800.9985087	78449078.8647804	81760208.7261489	81067389.574403	85434513.6635809	77665142.1950227	88139169.3797659	80685071.8919	71088711.6458269	79524350.3165355	76606307.7108807	70088350.2185777	67002202.806654	70596579.2205075	64576008.4488096	64878697.3433255	66606729.8789041	65617272.8504252	70843444.6978781	66760098.8995928	75163150.7288655	78620084.792978	69531667.9295194	82476465.7942804	77741480.7735655	69436210.6879169	59851529.5688932	57578192.8633826	62851476.6469293	62963696.3997486	58793595.0773639	72343448.6070971	62979248.6280996	70447721.6467459	63118523.2792892	67457307.9980395
"sp|P17182|ENOA_MOUSE_family"	67491491.9126828	60758786.1799299	71087237.9522694	63662644.5242342	67824995.1981142	51681211.0000755	70159582.5825098	65624889.762741	60126250.8492861	48618606.648455	70804290.4177286	72075526.0228729	58807516.2922219	70578609.7587926	59145922.7354813	58573963.590501	50248344.7779825	53660321.2681268	50487444.125283	57037278.2104133	61852525.1924841	61076430.4260945	85714947.8882823	87748075.4391085	88896839.5956478	49865828.4505266	49992374.8474844	62083087.7195803	60951923.9327895	55132289.3203794	83687596.5790002	76776422.6449765	84184239.7075268	62789606.2052484	72669328.4510556	53032041.0815798	60019628.8951268	52473472.6050882	54605407.2477528	58675177.6690763
"sp|Q61176|ARGI1_MOUSE"	56852475.7766097	54594995.663746	53315682.5753548	53976519.459627	53056763.9783894	50381266.3253031	74222744.0110747	65298640.8656872	110388621.654196	50892929.706808	71198644.5993787	75393689.7770305	69273656.7426045	73155241.3895868	65796203.840003	74074465.6181561	67689497.6420708	65797640.0573711	68594810.8127156	70574425.0306232	63086921.8278894	60533049.7145647	60692812.3883342	56853008.307917	57565227.6393266	58110961.372031	66144681.5881431	55397644.2379547	56953750.1737641	62977555.2786461	55111389.1143588	58800293.9199761	54643131.8352112	52378432.9692284	55705122.2714202	56676526.8437558	71118127.6160319	56408779.1715883	59226734.8769695	64638871.8072108
"sp|Q05920|PYC_MOUSE"	62247132.9068259	58968957.0609191	49329624.0352595	51751403.9634765	52683968.2751007	52322780.3104749	83004952.9392838	76724837.5865228	96168409.9610378	47236463.9047576	47846413.4556305	48611122.1651493	41883645.7832681	44698381.0496408	42806825.8390825	71351411.6527375	67482956.2095423	77652070.4772752	62762537.6498085	74172631.7077737	55368259.4958317	49300799.293039	65111287.80368	63593271.1894547	61006939.0071417	51688071.2171003	51071374.3597785	53158026.6730846	51341522.7073354	55511073.1418409	55575293.7022741	51943025.071524	55832549.8784705	49592162.9970374	50136080.5172853	53000002.9231965	56599120.165054	46984615.1304147	46141534.6576123	53522654.6745085
"sp|P24549|AL1A1_MOUSE"	74430482.4260991	74471304.0826605	125173560.228251	94764329.522068	73879143.2596871	78878020.3751094	37227251.4071724	52254104.9571543	18501227.580038	80180960.2604018	27664034.5209676	30313355.8144037	62396969.2093042	41522831.6280975	48482660.2776385	39222911.7410368	27433104.9643557	35179426.3108962	31821904.439694	24317825.5097214	35953734.1542145	34055588.2503616	52881910.7820201	68604288.0076842	52073226.1043093	68099110.8461866	62980336.8063053	47586089.9230967	58373954.639826	52842061.3444018	67934351.3163422	96003284.5960529	98959769.0074789	61335673.9155113	85538495.9475423	77956147.2477939	52539137.1832009	92539946.7695466	48233119.410773	51622720.0788568
"sp|P16015|CAH3_MOUSE"	70985822.6494422	73448878.4569206	209801815.06035	147124574.847739	66497909.3545891	87730589.332644	6709992.27625718	19974066.9645618	3853460.9238629	77913470.5994974	10081230.527428	14362171.262031	47875295.9702708	14069107.3810406	30999599.591279	44570310.4167435	36889845.9510446	31311822.9032694	42144730.2743342	19748807.955709	49089035.7725894	57072884.8002606	81200658.991004	89258877.3558944	73229229.0482275	57571638.0562585	38850350.9051389	32521375.7659032	33480313.3581668	35814173.379189	74819631.5234385	134020980.257939	137294370.128783	67968186.405497	110287545.922381	77884334.7204604	37737098.6440456	99885492.1023535	26222319.3460055	36857907.2430503
"sp|P19096|FAS_MOUSE"	51971023.8454292	56661121.983207	51748319.8773645	42675318.9260176	54619831.1388583	32985112.6293902	6751472.43477834	23245468.7806067	6334462.57517663	33961409.6696599	43829124.8956031	48717072.0635145	43521090.1751876	48206567.8429667	33202992.2592602	49915536.9690648	26578726.8574985	88922419.236662	27626822.7759365	83093185.6379755	95352292.9366658	87763640.1181069	126913342.896874	125258701.541637	99669535.3981797	20241558.0700213	36819767.3455232	45917780.556151	50435262.8333352	62256681.9311787	129849246.577065	95293494.1063558	132942636.798229	69749738.9648308	94675376.4303955	23318907.0274	43678924.4846089	28816393.2739471	46788842.1274314	47880207.006543
"sp|P06151|LDHA_MOUSE"	55239847.1498348	49658285.2225829	50150346.3625201	53124387.3671511	53858604.6020438	47923420.1382015	39677429.1068936	51514199.4841433	35111924.6466231	47376528.9725194	49532889.5015102	46500980.8278117	47206539.6337869	48757565.0686124	47095900.0617174	55799221.5828468	68301664.8212786	45328767.5552857	70991891.0483387	59000731.811031	48326508.5539863	46039666.7907055	57056543.8639298	60737182.5640919	62573568.9593922	48375514.5587923	67592307.9745594	44037658.3471062	49786285.0561144	46154289.7444964	61700093.0645136	64672825.9131281	64684591.5899114	61594979.8794431	65139363.9518645	48587883.2140484	53573065.7895929	42910132.1825232	47442520.6504019	54951249.572254
"sp|P09411|PGK1_MOUSE"	51299990.2849708	49836172.6207978	55624225.4466415	48981849.3524162	49897067.3511589	50568001.0254896	60278082.00428	54899873.1961598	58784640.6810823	51234689.6469429	44145370.8338513	48971746.4079844	47618118.6782231	48515502.7206439	49123653.8467186	52168277.6824715	52765737.8401954	41000169.2221925	50836487.523941	45984202.1288836	48958068.1190844	45514268.8184082	53528989.4692885	59912838.0298869	54671100.9204188	47696722.2012952	43800986.9079215	48422529.5900537	55064688.6460849	49042128.3788968	58156313.8359752	57809785.7505727	61666577.4168763	53465492.2102817	56674833.9583217	52983182.0446977	51926593.0352471	51614022.876576	47947704.699235	54969320.7630339
"sp|Q9ET01|PYGL_MOUSE"	49133203.0194985	52933040.8602446	54405683.0434567	47021279.8000294	45779503.0620706	47442774.2933833	27291634.4479024	37592905.60156	32468305.5353837	45111196.0414975	36033416.5200667	40044461.4009768	47593495.4114286	36499100.5408125	44615238.0770247	73698017.8265745	61082070.9814633	80355503.6854403	54274988.1444826	69591297.9671889	60528943.189981	61946932.6464803	87125338.2927345	80841735.9694622	80137455.3158385	33065131.3265445	33890637.9402934	48570570.9859196	50518407.2094653	53522309.2245708	81617870.8048058	68975502.3663255	85966752.2435181	59988879.2248945	75206757.9769514	51018632.33873	52161618.2861687	57278996.542692	45583014.4480103	53899308.3895299
"sp|Q8BMS1|ECHA_MOUSE"	48458339.1966596	47758372.3537403	47486773.1795531	47277489.0388511	47530488.0624637	55912045.0854854	75508569.2160936	67567328.7101265	76720742.6315243	56936001.6646584	42590185.1591546	46552918.550244	35501295.9801037	45210487.3272775	38384417.7049313	56122450.3290246	60324130.3226846	54120190.8868813	58441380.1831708	50316616.2389957	45467005.1797726	43663305.2826839	43566927.2990044	44483009.365633	46442531.9871445	42796996.8272427	40009528.8897552	43500726.4339271	44924945.9873947	41245856.992106	43265561.014718	42938235.3185339	44812433.4713903	43815673.5720517	44521632.4706185	55253528.2720869	56627091.950077	52100089.4589652	48577724.6880511	57742789.4429392
"sp|Q64442|DHSO_MOUSE"	47167540.7744494	49244292.5225242	58287908.9572649	54614539.779571	48724898.7131248	42263141.3570973	28847595.9510454	39680281.4512151	18153596.9617451	43519791.7593981	30965691.9109781	32780819.7571007	33003042.3204485	31483878.4783898	37882152.5829406	72610172.3230434	62750043.7765724	55772104.7745846	64951668.3071763	62011441.8571774	50269611.0410395	50420723.2944974	54254330.1349927	52851864.9358667	62690938.7959888	37272714.8426773	33409931.3809684	40804024.7135408	45573626.7655507	38685535.7490274	61424121.7525179	68941258.1674025	87513651.4724178	74366397.4244644	75134731.3482698	45719319.9031195	38287099.1949965	53600792.2467831	38063937.9848595	44337758.3994986
"sp|Q8VCT4|EST1D_MOUSE"	56714739.1495662	63614720.2085214	65965330.6520238	56683374.6731235	59941962.4955334	46114589.0565252	19589394.6295915	36560152.9317191	9574071.12980415	48596325.660986	22032566.4623575	34277665.6010417	34140943.1372462	31401050.147846	34467365.3922709	41634004.0919164	33639913.1607099	42204503.9819527	31954593.7165752	30140432.9516349	54784181.6789439	60023072.1105112	50184905.1221282	47205412.0024019	42432642.5907134	24292625.1079917	29253400.4314982	51937050.3222812	49329457.4807572	44790336.3260946	64293657.1667391	51242323.8255104	65791770.3456607	64061520.8787815	54036027.9014441	40376361.9192843	66585716.7798392	49231706.8854685	49187272.61036	65916778.1885071
