"accessions"	"AJ_F1_1_tmm"	"AJ_F2_2_tmm"	"AJ_M1_3_tmm"	"AJ_M2_4_tmm"	"AJ_F1_4_tmm"	"NOD_M1_1_tmm"	"NOD_M2_2_tmm"	"NOD_F1_3_tmm"	"NOD_F2_4_tmm"	"NOD_M1_4_tmm"	"C_F1_1_tmm"	"C_F2_2_tmm"	"C_M1_3_tmm"	"C_F2_3_tmm"	"C_M2_4_tmm"	"P_M1_1_tmm"	"P_M2_2_tmm"	"P_F1_3_tmm"	"P_M2_3_tmm"	"P_F2_4_tmm"	"NZO_F1_1_tmm"	"NZO_F2_2_tmm"	"NZO_M1_2_tmm"	"NZO_M1_3_tmm"	"NZO_M2_4_tmm"	"WSB_M1_1_tmm"	"WSB_M2_2_tmm"	"WSB_F1_2_tmm"	"WSB_F1_3_tmm"	"WSB_F2_4_tmm"	"B_F1_1_tmm"	"B_M2_1_tmm"	"B_F2_2_tmm"	"B_M1_3_tmm"	"B_M2_4_tmm"	"129_M1_1_tmm"	"129_F2_1_tmm"	"129_M2_2_tmm"	"129_F1_3_tmm"	"129_F2_4_tmm"
"sp|O09174|AMACR_MOUSE"	10564058.5870125	9775339.73419669	11615096.4498161	11648513.2134126	10176206.6906102	7492538.12735225	8321141.60772959	7694126.47263311	9093649.28363308	7460586.83381389	6699252.89839951	6715695.45600902	5781980.03033798	7264773.31751316	6201917.08921814	12317323.9700158	13246794.2571471	8702559.45659213	12978390.9666986	8217036.62713246	7872268.53104791	7561784.55340965	8446554.5535287	9004029.36795244	9951268.91446934	9741106.93921864	8756722.09308437	9389527.92031724	9573748.46845066	9624213.90504489	8043292.72931769	7914801.80002621	8754851.42978871	8415832.16192975	8906109.99910681	8493087.59482471	5541508.97742021	7013876.64890684	5239308.49204102	6102059.04337873
"sp|P30416|FKBP4_MOUSE"	8679046.38583022	10037308.7688038	8327543.75419151	8094110.65375145	9093108.40070849	7937434.49002472	5526266.37809353	8414601.73297145	2899505.77858851	8496970.43557442	10770761.1411023	11808199.3921495	10410067.4200658	10500375.41022	10867161.0886946	9167025.06496187	8909117.82337163	9974590.40540591	8362946.33835688	10884017.4161928	9792064.78204243	11152613.6983551	8376377.8156029	7833569.62908243	8602243.6314508	9479862.58063049	8397021.75917199	11259695.9250239	10158193.4695587	11253561.7218968	10033716.1952368	7070964.75135871	8195997.19354235	9716230.36268601	8310505.34030959	8863387.71775545	9005525.19098767	8646039.67587907	8266494.16386911	9598841.6811669
"sp|Q9D6M3|GHC1_MOUSE"	7010995.52774168	6193655.75683258	5149340.06766768	5603620.34977371	6141617.3553837	5529056.63034851	18997071.1461485	12934269.0326809	21151979.6414605	5345899.96763473	11955695.450953	10485897.1008919	5969471.19742509	10174702.3387579	7334893.64927245	7790960.63076808	7835925.83708745	8236541.05690823	7415755.52661108	9054819.04719686	5491554.36533915	5178702.95748903	4704793.27562111	4762180.58463492	5712964.75059372	10052178.6774414	6362824.45045905	7982116.82158934	8313660.29477424	7376620.3037607	5072588.65721934	4897004.59637515	4309871.7920937	5261371.58349843	4472041.83746787	5843276.65280809	7088873.49713464	4913233.26379109	5333155.89299595	6957232.03021799
"sp|P48036|ANXA5_MOUSE"	11872403.7252735	11854404.6468778	7915369.8458755	8328794.93043077	10675735.6389283	7457901.22393085	10436609.7892628	8440945.42310476	10654926.9352769	6927042.40559986	8543050.43696487	9432147.08721337	7715024.27019912	9366017.97671022	8176634.54775341	4013802.894128	4165666.34543502	4695782.68071209	4190427.56052397	5276284.37916766	10411614.7669125	10439303.6114768	9538674.80061732	10002751.7679447	7919044.81321148	3182305.7304089	5821021.24641703	4383721.21166462	4940014.1209916	4349721.75466247	12411758.2997075	11238940.4764987	14208657.4128113	12938364.0287482	11213093.076291	3887911.00714647	7010886.77293843	3786259.07496649	10288670.1983921	7027004.61307112
"sp|Q60597|ODO1_MOUSE"	10068217.8971727	8271639.5704813	8678316.23558154	8820953.81237197	8706386.70955976	7482323.70778816	16794089.2730251	9594150.32984976	25042329.5948081	7329899.57610372	10521351.1959511	9987038.27202305	8601928.31091232	8822103.41339528	8638223.25547113	11416352.8750047	11692594.8683626	11010986.7754332	10834258.8989876	9059935.71640779	6737437.44196645	5545259.4540334	5777949.70163606	5778792.63099051	5798777.29049504	9795552.60845775	8521339.07766417	8501529.85787472	8283749.41654233	7532972.53868247	6371706.30917544	6238711.40430155	7097021.82176758	7488903.82888015	6792370.91837729	8810388.0150587	9344871.15159083	8434963.85958831	8712161.0951979	9269014.59363572
"sp|P57780|ACTN4_MOUSE"	9607275.69769177	9616129.88335449	8722577.03524251	9263665.31272379	9426368.96756813	8460872.20359409	8817220.5969038	8304553.75074004	10770617.8655475	8436555.56595361	9742697.98940389	9812938.95792837	9418120.25721517	9448174.2517716	9541837.78396834	8087521.20286758	8317244.43758554	8419627.65081702	7926055.42631261	8069409.45107166	8530158.11499374	8627138.88857477	8146190.24095531	7863048.19795444	7956847.55959964	8352237.00523037	9084319.14138578	8608837.62823229	8134042.42931155	8197082.66626766	9247254.418924	8080063.14395535	8593436.93178336	9173262.18424076	8072544.50904522	8647016.66716862	8709370.34390634	8469392.96752854	10172771.6131768	8795624.91536422
"sp|Q9QY30|ABCBB_MOUSE"	6124638.52667036	5934895.42415367	5567313.32880469	5678666.38871953	6749347.27257892	7500061.8423421	8410971.79268499	7094332.81619847	7930129.7818516	8442709.53964446	12901583.4614801	12366010.2898561	10933380.2374124	11808121.1520694	10851218.9278436	6944053.96996441	7778360.99373984	7445512.05756096	7099052.74257352	7478384.73034314	5374679.99799061	5044432.75418832	4963142.40218092	5451847.0188599	6638710.30880911	10601621.0233828	8580830.01440719	12860586.7185559	12320141.8345371	10991567.5553714	8713415.95509173	7955275.13123435	7955544.45021798	9055655.3711158	8751038.54110365	9468226.1778095	10466859.4579691	9913245.11110972	9224094.50787164	12527138.042708
"sp|Q8K010|OPLA_MOUSE"	7321216.41274865	7399050.42672823	7709836.57310361	7437564.97676125	6920330.03038494	8629219.76497089	9856951.27718255	10379888.3565888	8180890.77275244	8531005.2582538	7686962.50496336	7614909.73959985	8309496.61863274	7716778.77672793	8392357.29259677	7670371.37857514	7718320.13890802	6071272.14669606	8217030.11347366	6122506.93094051	7079111.13030081	6877273.16023903	8321224.74471028	8359723.45030378	8052304.84223346	6129073.831676	6182202.23881107	5599992.88903811	6270887.41316267	6501113.47564221	7568408.91532043	8931593.94237356	9722060.07617441	7411972.71686458	9424007.82629059	8151980.13931781	8467004.49580233	8400913.10479175	7335340.74847991	8365414.81848756
"sp|Q3UEG6|AGT2_MOUSE"	5976527.86417697	5400721.9897888	9063212.65243617	8174093.58362247	6261580.62086777	12309094.6083161	12356507.3273617	11882086.1501675	11392064.8352952	12228406.8312093	11239254.8690874	10777922.6640852	8943865.87905848	10959953.0288931	9405784.48014369	8557212.54804423	7792945.61267819	7648873.3651276	7634777.60565557	7162093.31533944	8017342.25418131	7306757.95395645	8945421.66629037	9295059.93548973	10958678.9990239	8564816.33148339	7390148.61928083	7954630.67182011	7834320.19030339	7643424.16131085	6272297.61112799	7077600.61051869	8791014.38681887	7506446.51068092	7800108.7727644	11458673.2328986	8060238.16118787	11315380.7362009	8552820.77356131	8658481.53843028
"sp|Q9CQR2|RS21_MOUSE"	5400657.22154102	5244502.69911452	6110802.6868961	5798238.61279701	5511870.28731962	5288387.50658111	4511958.52141979	5627714.1383323	3885687.05872429	5718636.34454226	5912268.5029829	5799720.7138053	6643496.07702791	5298479.40533043	6167046.9190106	6601603.75204088	5672357.14268306	5679793.69995551	5911653.97606128	5895212.54306019	5501705.42541402	5478020.28674137	5937898.95767723	5514177.539455	6934866.45687383	6063775.37623874	6530528.50585575	5408983.14778464	5434981.49694573	5157219.91438209	5272727.52485872	4966720.18737798	5709720.22705586	5465358.19253303	5546399.67989276	6620552.68473839	4641341.79898285	5988058.46306916	5275640.43428829	5267370.38474999
