"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q8C196|CPSM_MOUSE"	2314488997.79566	2066969136.19423	2408415284.78231	2922401092.91222	2756315663.91569	2573916976.67104	2122659218.67834	3363321065.60584	2313225411.18013	1745448473.56289	1713198646.84029	2144525798.88634	3121724897.64384	2698645160.59458	2966884869.71791	2640176681.67168	2403644546.32294	2667201677.60016	3142849366.22724	3459937952.48152	2892303547.03489	2393605315.70098	2402610395.57003	2486188457.10104
"sp|P16460|ASSY_MOUSE"	629601007.557162	533661731.624012	640412631.48698	870889636.149665	772568346.331692	762877944.457836	676586197.126873	1030353691.48203	796078032.760565	622857149.064367	587297769.162588	639474594.091135	852377021.317022	757236283.276509	807398882.013236	884562143.019203	807216895.724735	838493589.127675	1005190111.78513	1101679587.64949	943939548.904989	807047919.923009	915039003.66466	999877087.588394
"sp|P00329|ADH1_MOUSE"	576892952.404084	531203116.003855	577797470.768022	758087068.047389	676071546.726331	676260635.250575	448563975.241876	620613253.687456	512327982.875462	425939017.42519	455184829.383848	489227322.784989	659317680.556641	606584935.526471	668939565.502896	781660990.607239	744620048.346045	808612757.815133	508878402.763102	707227456.908345	551289786.609302	751265761.735258	664391740.317782	688188658.322977
"sp|Q91Y97|ALDOB_MOUSE"	387610216.622352	342159431.18543	411516431.924759	476250994.617329	491986259.972048	484150661.044247	377711249.054645	429686720.645092	356208708.094839	344334007.490797	347208130.516219	346652846.733959	356981904.116477	321706224.017549	358178148.954091	408704827.856083	380723738.983815	418831438.670036	379866732.514987	449074932.082462	371960039.403546	419290994.745971	418433953.082482	415837571.721267
"sp|P12710|FABPL_MOUSE"	477053479.94821	444585178.081812	373365240.281419	429457691.92452	397690722.170486	384454652.498843	284277556.111085	243019132.616055	403143431.848442	530234107.768775	575857491.573506	479584918.731834	363132419.865531	334360215.062301	325576569.6577	303987155.651335	376563036.614774	311176219.160858	279891128.431132	207667133.457818	350157162.360409	384831209.462227	389799778.855185	395286215.200595
"sp|Q03265|ATPA_MOUSE"	273465329.439985	266194134.214628	270712644.578619	285470810.797874	282718385.904506	273892904.831499	219684842.740214	272857447.705124	248483888.660508	257660761.855284	263543295.703736	254380961.672001	290098515.625152	285437810.518618	277287032.648537	309071256.928446	296524011.824272	306999193.219389	293778417.640517	257736297.372736	288598989.485114	306098699.303322	315937202.883666	309785087.217526
"sp|P63038|CH60_MOUSE"	249745314.624396	255248091.995518	239597671.862767	257662099.377115	257288053.933456	247477040.650953	211963126.434248	242108659.660121	229897870.991273	219035102.854071	226488020.896131	223633038.738188	296873641.599518	266425753.407688	272876989.872705	255333345.879565	268083627.279708	258203363.254328	270189628.773244	248423349.569412	276625718.944896	261264521.609333	265452260.307862	265729358.894145
"sp|P50247|SAHH_MOUSE"	241434482.315394	212189248.119891	246891944.26094	260206168.120335	284772456.510136	283085734.584634	194431997.744209	328391612.669403	186604260.593348	200423099.714962	180009909.471928	172218317.221839	316547501.628491	274466061.969846	300168309.6804	226652131.126156	192891840.197273	220461729.482895	327879866.774144	342346137.864723	330484747.037486	246982156.984097	230090821.097101	247585292.617485
"sp|Q8R0Y6|AL1L1_MOUSE"	192315393.339696	154156827.356136	192798438.500436	240328800.502464	269612793.21307	283227140.100167	193357692.245275	306227868.475097	212321570.5445	193611026.692181	189794680.390262	178611433.034204	302543672.888551	230290895.977992	285481098.919502	276351867.861328	239609825.562861	285717231.470343	257207801.300257	303508918.575775	242342195.481093	242102057.040123	233054396.121096	234866290.784827
"sp|P09103|PDIA1_MOUSE"	207275087.494586	191744181.952192	212609685.931665	193061325.227959	204123951.711174	208743428.709093	237565140.033018	267044497.60216	221455187.333072	232825129.887817	224332591.094085	227804385.585834	262798987.173442	252055254.338068	250831950.536323	183997162.851516	188177956.626766	179424630.629862	244721578.810451	284504863.809981	258537373.803699	220599837.388793	194048156.41976	213888997.782636
"sp|O35490|BHMT1_MOUSE"	144752101.984772	122508944.274911	122535067.912824	170521901.874845	326547273.208957	300417271.128561	198086099.016048	253341499.361397	225090624.57289	146249310.440631	181341879.51966	126007623.427386	353787761.256138	225187777.968987	287355224.611063	189577862.464958	189218735.027619	211039315.243654	327530400.090208	232160986.68349	248173945.85877	184029949.684378	165251774.284997	206826071.369315
"sp|Q8BWT1|THIM_MOUSE"	254174882.956804	244479987.782609	236120621.231552	296975543.807887	271146154.82742	264176388.679881	123541620.528608	226224236.238735	141681655.937699	141246114.621931	136980160.272709	144378120.811276	258298574.214076	251303278.053379	243824628.212196	166895399.225248	165537289.633886	165808333.296305	283733388.1671	239157162.239176	287461842.185346	178058660.797974	185602041.655511	181921008.210192
"sp|P24270|CATA_MOUSE"	233463113.433141	183652828.00458	173073907.400058	241471021.163712	251813136.396585	241949097.204936	154449423.786955	269739262.447103	162622369.75438	144270863.541529	135892997.02499	159311267.252806	242428451.897416	242539833.461666	249452696.447306	187411496.190741	167044606.006599	185934520.97393	264195370.282005	260699724.994204	295136689.017866	220412610.001881	194609448.000442	193659869.621251
"sp|P02301|H3C_MOUSE_family"	166737111.244608	184751123.474258	194637778.511808	212714474.210622	212961430.469588	199009286.893447	193047822.818147	188025593.822964	177035397.349188	154285338.485001	170163389.242592	185768950.991437	201567682.968896	198661037.661336	215014944.0325	235050866.122714	239097938.101553	233188795.47918	202534097.794548	183853352.374357	172866361.05806	182768953.411832	178450855.767806	183109557.557551
"sp|Q61176|ARGI1_MOUSE"	149625677.199605	128964305.669033	157541913.687581	175903724.305085	160176927.554603	163076802.364325	149046946.960684	247560556.086177	158318042.777622	144582553.216159	145734638.122607	156748638.013815	210862789.455858	172949168.998622	210649273.902188	201328903.907183	186354562.127248	192526082.63209	238333545.837699	241545263.30481	209457985.152445	173078911.298508	174655488.143281	189015185.032857
"sp|P10854|H2B1M_MOUSE_family"	158265570.836427	159362420.101629	184549354.481954	195033982.302687	204099582.999585	209636214.359522	180206303.796093	190942104.590327	158220947.076669	143448016.508598	142420288.833641	171151894.823003	191905095.032822	184830406.698495	185962494.526075	218599174.146677	208761777.792586	213506374.867064	173119190.763179	194321661.236554	157509068.898404	172054266.258208	165762030.677476	160683599.619258
"sp|P24549|AL1A1_MOUSE"	200733901.934774	200822727.680064	181715818.521518	248843273.258957	276321121.378247	274557957.038659	58141221.8565946	144110560.16263	84407259.452578	158507870.394637	135195890.966384	86272312.7602635	178896380.507734	159195454.531665	175460063.467296	134464571.856552	130920213.210101	140993708.417499	259343007.626983	151239594.427388	252907361.034766	130644629.878963	150286425.494764	123256464.547714
"sp|P35700|PRDX1_MOUSE"	170332225.99522	153555903.394131	149606313.998987	153514568.102312	147940979.661757	144813032.454268	169562611.329829	182697907.33119	193117609.10603	156989693.275836	153054105.464583	186782565.778017	188745029.016272	180748337.001686	179290395.35546	168271366.204701	172073614.219467	162062840.095322	151337529.665951	186730342.12855	160957251.754031	189997181.899628	188021976.740866	180737808.312036
"sp|P54869|HMCS2_MOUSE"	143686644.469901	159731813.964715	139912699.68458	157114696.022953	176916754.425711	165023380.78325	153085370.805233	202444964.874153	142327085.570162	117549647.706631	107220366.713975	128067639.757503	187441118.3384	165438084.35335	187355729.710966	164006096.964544	144789531.071263	157257297.696298	191512744.910589	204074082.185791	205683294.28306	167391797.885539	143907506.406488	152513366.299576
"sp|P10126|EF1A1_MOUSE"	157205452.121102	149486671.556163	172006133.755181	153817519.449896	145530645.146856	157642288.103617	184543644.605825	164074063.600015	174183331.781276	178763085.801142	178684657.029567	187739448.711061	131018045.990087	148195057.853811	122311790.795483	144112586.260746	148952470.688337	141983256.948973	127466414.952063	154262923.325953	127529320.938153	173340924.996734	168897584.378675	172011162.085716
"sp|P26443|DHE3_MOUSE"	134605163.432423	135558960.348442	122350066.822196	128500952.557003	116476944.25092	116901295.053468	183996452.617023	178828834.963244	191564298.556501	144145105.737921	149079864.8097	177946390.739727	165828696.496996	167368586.237748	157090170.979216	166381964.887816	174063088.015376	159526712.617577	164315617.050877	173452829.705675	164077804.323555	153553819.445307	160730863.099046	165865602.538628
"sp|Q8QZT1|THIL_MOUSE"	119525461.407472	140371360.974365	102803569.919888	148548167.942701	165504899.158649	135566619.344992	178833813.151941	125444264.277588	198374005.775075	103579304.278316	108382875.384167	152989739.807513	148834480.058291	155762429.33307	150128877.8236	143854039.597435	178880269.338077	141765345.427983	168921023.734098	130040141.092268	153723908.154296	148733996.710287	166881679.524401	157123826.445576
"sp|P56480|ATPB_MOUSE"	136720225.395766	129568705.329445	137602427.973072	154250853.877815	140961056.383539	135133184.538488	111041204.122725	141581491.933829	121433406.003968	129643889.320792	131895304.174869	131114668.158149	151259141.453617	152002988.071427	149079672.345318	158144152.62001	156037697.591076	157555855.496085	149532107.769641	138957918.628755	150405720.409196	152707847.636593	159092059.426773	158419336.701148
"sp|P11725|OTC_MOUSE"	119360324.643208	121526003.684906	118814877.419961	145204552.56082	154907813.235146	130869131.191035	86086509.6768126	140319425.019024	101235609.712308	94026391.699112	95292350.5668653	96296583.6257297	198398573.930651	181732150.471778	186396793.232056	146925663.455692	141822541.092814	149520659.755697	187301119.125963	144327850.517641	183751095.277395	122867407.497036	130357923.550733	124212522.922172
"sp|P32020|SCP2_MOUSE"	210165083.197835	155260427.937523	130823974.50162	128234195.588046	144128600.730996	134992188.630513	97003724.5119534	112713392.487809	113096882.957658	163773633.040962	154410411.747346	129252685.632531	100633050.300918	123126749.456242	114956849.6316	113472765.854436	108257184.549605	118598968.149874	118566249.214309	125377608.922982	154255201.790939	173739262.106489	154578535.750426	169628820.228885
"sp|P08228|SODC_MOUSE"	157869495.078413	149671166.67296	147743211.343779	181172521.773533	178903179.782802	178942811.129606	88923639.0739194	106832112.189858	95511458.2612642	130536299.348768	117479691.472769	93628445.2475177	127698973.597855	115625244.683529	128409469.70331	122228233.592547	125212691.706184	128525861.440893	112701803.971088	108158114.619706	127349181.14834	102758625.595318	118141266.45679	115701483.062356
"sp|Q64374|RGN_MOUSE"	125834773.240845	136247020.6301	124743001.608563	186261243.96117	176244395.738836	188214569.751491	97061688.2013829	102273260.413314	114518265.999531	112454984.809692	103245002.496625	99504948.5505641	144678340.443038	135617703.756453	138759621.957953	124962240.627629	133507788.137437	140558255.527154	102865504.994111	96622026.1880265	100884105.833464	95924734.1369835	118168075.149244	100455387.388554
"sp|Q9DCW4|ETFB_MOUSE"	130445965.054285	125901259.555655	122270769.021493	143725669.831792	137155446.776302	134676858.729976	90288567.5784351	128476146.300269	100173357.358048	88490853.3689051	88610373.7355496	97079296.4578266	144147995.83099	135611924.726795	142908462.222505	132568535.019897	124856054.12054	128680879.724913	137354979.975188	135778670.851807	139215160.513754	118741943.698659	121179551.11575	115998576.530704
"sp|P14211|CALR_MOUSE"	124060539.413977	131006639.133404	120314359.188581	99620626.5808616	104833372.949553	94774733.6005988	141816717.394855	104441730.676472	138534202.407657	138550186.770802	142671060.845284	143124021.641846	101254267.922467	108574494.058763	100200859.70147	93879612.7669574	108756954.894702	95555550.3634451	112744714.984278	110572166.359065	114292377.123171	122152163.554421	118229166.581167	123494622.828373
"sp|Q64442|DHSO_MOUSE"	105682117.518593	102772132.009747	100997439.624213	117382064.184186	122935143.352603	121596163.599901	98955052.8142939	88900028.6215974	116040726.924261	152177473.944403	155936715.133935	128800235.519838	114963767.964552	120179009.25141	120552720.246859	112196115.30689	112687289.524547	114130181.368842	108046323.744013	88113381.0904506	109993583.99185	99658642.7934602	106886227.97032	97130392.3655855
"sp|P47738|ALDH2_MOUSE"	102437219.556366	100574171.346233	107505860.703413	123892854.753423	113922077.000916	113192601.63592	63490288.2441986	123142016.263159	71724124.1279688	92123894.3518565	90003030.7837993	88443222.0581754	147404318.957716	134558129.59641	140362736.723379	115185304.231582	109409080.258056	113049997.548954	140502754.449158	125535257.339932	139517202.559586	105572311.262886	104410260.410071	105031966.018425
"sp|Q99LC5|ETFA_MOUSE"	117327007.513302	121104056.701314	113426294.613827	124067180.296241	121961460.193752	117163900.519837	80053438.2232794	114844170.130341	85112445.9199498	83981573.6264052	78712024.2735856	84297632.9023571	126438434.129062	121394035.751372	124434506.834643	118289733.622371	112234477.796766	118473612.841575	124876529.638636	118449668.763426	122579021.784909	108562896.981745	103294095.937206	109678736.240248
"sp|Q9QXF8|GNMT_MOUSE"	94177909.7131564	92917603.9111127	99725330.5897089	127050313.116181	141414694.900284	130778845.116788	72414366.1241739	153597746.991244	88688444.3431105	90669634.0201843	88706464.3813627	67944800.0392979	165018345.493837	112990979.988085	164613895.521629	88374542.7109459	78188339.010502	93903885.9784339	170705551.618302	146894817.771044	148730365.973573	74115770.1799431	75128683.9121812	79919069.4881523
"sp|P16015|CAH3_MOUSE"	172857411.272993	195416601.151416	139568565.23762	202743997.141927	171010391.68671	178446555.898546	30329935.1507299	43786879.1741216	48927300.9544681	118011074.107457	157204765.539262	73462400.3376588	94690017.0854795	96848813.402424	103257827.517092	75579728.8524204	73812725.1799733	86490787.0053122	123604316.813632	40724646.0650701	134448288.266633	71235055.1202312	80554495.8942208	90569890.0316475
"sp|P20029|BIP_MOUSE"	121015184.250386	120751683.482817	121917783.626015	88407654.1815964	83642013.123046	79429421.7255716	122839311.980068	99208208.969265	116816798.083868	129824317.466137	137433163.471984	133478504.534086	93619813.1693655	106567358.27659	90156411.2351461	84216211.1960124	99330368.3050451	82656079.125345	105949023.108167	99544746.7213928	105350279.09964	116311330.500858	108559816.696906	120561687.784335
"sp|P30115|GSTA3_MOUSE"	102048668.888459	90655428.7852069	100052821.426019	112506438.621101	111599448.307039	113902814.121338	66361547.9503544	114288442.959565	87884176.183251	104497244.702141	99186938.0479808	77254322.1637681	113979774.901632	102911609.17331	118630677.745374	124586871.2053	111645714.915036	121820552.388998	134148764.085194	122437790.479487	134680333.6909	91779453.609229	96279483.9849696	86695189.2183872
"sp|P05202|AATM_MOUSE"	100858488.51506	96582760.5824568	92934851.3105846	102752051.466448	109282666.525714	111031708.60094	97937729.9225097	120574332.333471	103535083.798233	99913456.0615369	94519896.3431598	90200923.6561871	117911482.868568	114280993.591091	115455045.783758	103065530.908898	98755302.1781857	107662707.961464	127993445.444953	123381200.601532	124428995.119714	101745351.34668	101605836.633111	105753794.723653
"sp|P16858|G3P_MOUSE_family"	104357553.086384	89721830.0319925	105705294.544564	103363960.829792	106858033.041196	113076407.883588	94969398.0680058	129384671.355491	79789817.0822541	99090148.9879152	103155594.716254	94934040.595507	106142069.813242	95963723.2433825	95511087.292321	98926691.4228632	87748083.1429882	106314892.307426	129743997.030194	128555467.86093	119908864.463982	110157039.678455	108876231.282909	115875516.136756
"sp|P17182|ENOA_MOUSE"	104996664.263068	92384717.6797464	101477736.106311	110945885.928474	102610253.738024	104738509.563977	81088081.7412849	120743553.823263	78954428.5648561	96811329.0426828	100687888.599488	93872521.8978454	100526561.902091	88624647.3243158	103481719.567042	115609709.568719	104195519.72495	116096471.592014	114555786.049913	121119318.960285	113975629.216885	112348655.773079	110019691.84283	114528539.86821
"sp|P09411|PGK1_MOUSE"	100878612.81788	89901757.2215018	93353626.5240393	101525273.284696	99202136.0781911	97203790.0167548	90992440.8911175	112583319.775107	95942033.6499284	95261587.9174289	92188616.6733254	97225947.4852861	101134994.156242	99303562.2240753	97494251.7273451	100477906.69554	93416877.4509543	97943178.9036682	107913174.683969	121007503.315372	115170112.570646	107050320.578559	106262849.280173	107487919.705489
"sp|P14152|MDHC_MOUSE"	91769698.851887	88986971.1530776	88303165.2610292	109791255.433681	117349285.901934	110549115.662812	79725517.2370192	90011748.9713522	87684011.0449037	95268313.4515826	89986351.0464543	85287564.1474755	102909878.880307	97910561.9414368	98283414.4695981	109625457.520056	105189368.014723	112053200.553615	101107585.531649	90892390.4232405	102110333.769839	102972682.014193	115435192.942339	112195168.283197
"sp|P52760|RIDA_MOUSE"	75726185.0964065	76836045.3798166	85145184.1474321	110785527.660184	109042644.52718	110027902.583441	54722027.6970179	101897521.175926	61158111.4088955	87977237.4935513	85799480.080217	70516733.6900292	130055781.848369	110652124.853907	128111457.66158	127393672.814201	115013272.554622	134744948.865285	111256869.023902	97469210.3829366	106822268.523916	78679975.969612	84356264.3029527	79402854.1577225
"sp|P63017|HSP7C_MOUSE"	102897145.428442	96081397.6275809	97606167.6017354	97988073.1695689	94986550.5174855	91354692.3014963	100714606.142515	96577168.456146	99096805.3084399	97834736.1231094	96264252.2127763	101900401.087131	98972922.6451921	98072457.1116057	96043104.1222095	89492245.1099795	96316665.4526933	93151781.5849415	92102603.211055	103193202.904254	94092498.1064632	96629707.3348382	98953220.3596282	100234227.020338
"sp|P08249|MDHM_MOUSE"	86878007.5336203	82641629.628441	79619560.9093242	89484126.0919513	94520987.839486	84391805.8044904	70108443.9937291	105892760.917008	80501455.7041949	77362915.1203035	73425983.7570505	76524421.5165695	104022986.613369	95117365.289801	99889758.618228	93963281.1812668	83502569.8072304	96043825.1122358	110573684.239581	105763578.23836	109653833.810649	97790688.693354	94869397.6896249	98769242.0026576
"sp|P25688|URIC_MOUSE"	149974122.915527	122927585.607707	133662427.761995	139535922.03413	133986177.040461	124726542.345585	57207621.8299461	87053031.9222467	62172260.4892159	84979744.5880237	67458623.737375	68527937.1720464	80733930.794084	82499512.2405367	77845207.6633085	57124195.8448354	58761825.8060625	58193345.4055184	86037887.3217075	88406720.1627503	100248943.844965	65589278.8487634	74416681.9632173	71832373.8089494
"sp|Q9ET01|PYGL_MOUSE"	91768748.3763322	77122590.5522794	83742421.7167764	107097381.591518	111376370.944735	108062344.287742	83697639.9668674	84635809.0153215	80802819.2570993	73170301.6869564	84829550.3824262	84855401.9323679	81294302.9441691	77651403.4452666	83410681.4999984	90920804.8774008	85415632.1462809	95221187.5113732	87192682.5580058	82839809.6724779	76820267.906362	84143815.6032085	95516363.294442	86889938.2478986
"sp|O08709|PRDX6_MOUSE"	84603618.9076191	81504367.094851	77496706.3581744	98627167.4379398	102760006.359493	100582204.94771	53136877.2675334	73757365.3673021	61251984.2776487	78438931.6719218	77834240.4111588	64708910.5538055	100967575.791721	99666572.7090525	99936564.8047832	94418884.4817688	86215206.5063951	93321234.7657859	91103116.2811566	76246599.2425184	98560953.6136164	78720324.2602888	82858407.192003	79607272.3041334
"sp|Q05920|PYC_MOUSE"	90894640.4820999	85993035.378342	88848536.7872064	88394115.1240386	93799399.0660012	93061078.7288818	84825344.3727594	94736638.6175911	70862225.1269391	69029444.6938837	67027642.9109638	76171902.834506	101451508.47196	88560715.0933098	94639236.4441057	74632223.5418611	76690430.6786143	77542773.946889	87125790.9172861	93083477.081483	85965644.778295	74076985.5840945	76778163.5155959	77877933.2493906
"sp|Q9QXD6|F16P1_MOUSE"	78719425.4688587	80451635.0414364	74528473.3141883	98145900.1997648	103073926.806495	95897023.8290226	83962346.7880961	75864893.2569431	79033712.4621846	84199720.4521474	84227069.493121	75882675.0035208	71714489.4060904	65938701.9711048	72348868.5626553	72882501.7865938	74045839.3475535	82648889.6416855	82304356.4482824	75001318.4535964	83713944.2567286	66327957.364536	79959113.5478631	77173252.8628612
"sp|Q91X83|METK1_MOUSE"	40288478.3846779	54241605.44875	69420603.3638036	84003044.025208	107704515.193872	110374419.083966	87945947.1161558	115777752.946404	77375595.8916278	36634668.0775946	29548956.0105998	51511571.9008661	106509173.712187	79282933.8123886	96421632.1750458	102049956.671237	81420637.5095903	98325225.2180142	84282056.6187477	114822447.711872	71608966.1174739	81637436.1786672	67117278.3824779	69092784.0026924
"sp|Q9DBM2|ECHP_MOUSE"	111700515.941059	96690519.3793228	76005843.0212626	105290963.631479	117648386.990239	107237452.135075	43833253.6033452	54959612.6790633	56893980.8266175	76440372.4270535	62022378.7349103	67571890.1179417	47834095.9057771	56671356.4893872	56269982.9276637	86968227.0499511	75093286.2416629	91373247.7273923	48865909.3132252	57629582.4401969	71656230.8003604	91763982.4622404	82790498.2037553	75274497.2030963
"sp|P56391|CX6B1_MOUSE"	69071387.2059819	66709912.005903	59981480.1329105	69353368.2185674	68693327.0758044	67789026.9371824	55084095.8463626	69316545.987908	68428098.5897914	66022649.4675777	60848080.4295961	65082395.7135128	76370532.1805835	67446533.6569605	72404806.5413548	73747999.8376485	74804546.5780751	74290361.3645372	76394220.5267678	74756449.8624038	73149059.80966	73599771.7359195	80249801.656363	78389521.080651
"sp|Q99LB7|SARDH_MOUSE"	61730381.3863781	64824491.3753548	62517706.5130524	80641427.6706658	99771231.6565683	92452744.6295875	46625435.9487963	72975146.5181833	47685158.747981	48721650.5476502	44763274.4386173	42573051.991551	112375493.653692	95076331.6378772	108218739.483896	104239638.764658	92365235.225297	111680490.399025	82305639.8642594	68523611.6871132	75430559.7853807	64689637.062259	66995513.2854346	62376445.7460186
"sp|P19096|FAS_MOUSE"	61582716.251957	63764806.0564717	84394146.2403421	79047816.6278941	70241917.5353402	77103694.0406705	99922887.8224227	75626859.3660585	82535371.5691804	75860852.4632858	97965937.3923091	71124544.7984747	72416202.2205221	62726274.0756031	76981756.557936	68405812.9359315	71405906.3286308	78492223.0569843	61918111.8317952	75024006.4407013	62964509.3674152	65472117.8968398	75522499.7449685	64083478.5501603
"sp|Q9EQ20|MMSA_MOUSE"	70528548.8816721	70988139.8314528	69115855.1593171	84671415.6464704	82923029.4940742	82156210.5910019	48355040.5428948	69570507.5174193	51494533.4284233	60255184.5097908	56531360.7478716	52373297.2414248	83605663.9944613	79423669.7033424	83691238.3490259	84619175.2002556	79889880.1641914	85556565.9741138	79431316.4154232	73698450.7575676	83617330.8247497	72083504.0201175	74888581.3952317	71695945.3068909
"sp|P27773|PDIA3_MOUSE"	78543892.5092398	79436775.9543971	78412803.4512372	64073475.17261	62551211.0216441	58671790.6769622	77371174.3494857	66101936.4652777	79344236.42422	84870578.0495066	86874575.7733755	83812858.7840665	62446711.9895437	66603308.679528	60673159.0810472	60071700.1977415	71139088.9434356	60615697.0163267	74396192.1167406	63006319.6401839	70044593.8617652	71872088.5080638	70360672.6153576	76075999.1107103
"sp|P08113|ENPL_MOUSE"	78943290.9959798	79650102.5500744	80198297.1624056	61508182.7275272	60425335.2539482	60493447.1498379	88487116.8919385	70955725.6326588	82500866.1252312	82499273.162724	85750696.0766979	83864497.629053	69709579.3017781	76831881.1300227	68019726.6467052	53259230.5369253	61771961.4470303	54580948.1563443	73146502.1726185	71847995.3096427	70936216.6217271	66051444.49217	65232268.8192231	68633620.7736158
"sp|P62806|H4_MOUSE"	58697096.0816192	61457768.2599485	71450178.4861701	73770399.8390862	78779296.0157615	71651317.9646374	68407705.0402055	72265072.0613642	63610784.0658658	56823917.0015028	57097558.523132	60401288.9177016	71869138.4464223	74129525.5386075	78633262.9195468	79673064.0205635	77366393.1530361	81675664.3905091	76683612.6478482	72003672.2262302	65711084.6033034	66518572.260498	64293186.7413184	61741906.8160231
"sp|P35505|FAAA_MOUSE"	59048586.0743188	57651656.1346441	61894674.3724328	72984297.0986555	75667185.901773	75646194.3611906	65292577.1972003	74035502.909346	64963088.5366548	59453747.0628745	61354463.3594188	60408175.3164043	84938226.7726529	79725683.7247108	77633688.292339	61586120.3354166	62248377.3211228	63199613.7139557	80571281.7801075	74828220.2878001	78516498.5462594	58619631.8731486	62722957.5001262	60673494.9676883
"sp|Q64433|CH10_MOUSE"	64048465.3218171	62710478.171638	63173653.6567056	77324139.7025439	72660121.8687041	70337044.0465254	53111044.4663035	67937581.7149425	62140673.7667187	55868247.6534597	54894141.9075343	54068059.1672562	76643477.4209865	64003889.9572874	73200653.9395155	72664724.6950092	78912043.5322403	76651421.356023	74181986.7816443	69248050.7251976	71671309.3155461	67267503.6502326	74068434.5416324	72141637.1488944
"sp|P06151|LDHA_MOUSE"	80390954.8036252	83839379.5919106	76932199.5597315	60438585.5498736	74210589.1413152	66788663.921994	96787882.8621193	65236793.0029456	72514863.0681887	73741324.8667835	68715686.2685913	78935240.8735089	52804978.0850504	60487628.4338934	54367034.363532	59957423.2620941	61238705.121496	60854092.9727953	58174171.3852835	67724555.103682	64084291.602873	62081466.564927	62371152.0979496	65628194.9273121
"sp|Q8BMS1|ECHA_MOUSE"	66307145.5190048	70545661.9347449	63698819.1850614	70123690.3706303	67860553.123176	63841555.3011219	54239822.2081439	65952157.9496193	57727980.4479752	57246997.0550772	57013030.7886886	59958810.8224657	72990056.0132413	71837522.7310694	69686629.0509119	70073598.2051794	70953434.7097337	70394716.7633801	78477147.9731849	67746189.5262015	79831978.3680918	70573641.9925892	70898184.312895	70742821.8598583
"sp|Q9R0H0|ACOX1_MOUSE"	77680637.3534862	80772849.3711787	70946580.5664184	77358098.894316	106887100.1837	94424358.2207004	62173205.6854538	51374424.0542821	62784006.1476175	73481938.279969	58838888.3620217	58801829.994368	46612507.2074286	51546493.6741522	52777071.386701	79105469.767989	64904202.0750816	84934041.091908	42815543.0840136	51782733.0039157	49665948.2771631	70527971.1825641	57384472.7051359	56327311.650206
"sp|P55264|ADK_MOUSE"	60865908.1263419	57242451.5098877	64371470.2215008	74176042.9028945	71823156.0114172	74181294.5778069	60727060.2447728	87794341.6770394	56802086.5320633	51757695.6081066	50154963.6527026	52532270.6242787	87154861.2348316	83225960.1572734	89090344.5698802	55609540.1325593	49999629.1420195	56452307.7051087	91615580.0027075	95570816.1188343	85254270.5888632	45676176.2286066	44869419.7052074	44901906.9055333
"sp|P38647|GRP75_MOUSE"	65198994.3345668	60330617.0188739	59235209.2988492	67152836.27583	62386248.7496676	59747245.62479	51760078.1996616	64525133.0948399	58970203.317984	56185508.104234	56209238.4056818	61706804.7017218	57336401.4963426	51235051.2446781	55356207.6159497	64617428.5833038	65081977.7749606	63335324.1159047	57007274.6058358	66366003.6439888	58842324.4222444	71172410.0305383	67241013.9462677	73390676.8846378
"sp|Q9WVL0|MAAI_MOUSE"	59266668.0659207	58310398.1527795	57048054.7596518	72002188.3487742	76623284.6017547	75738011.2391965	48295885.539268	42501643.0507431	51252368.5559442	56818045.4295229	57952987.2407357	52978133.3890497	55514904.8351389	57321173.5579689	56002287.1390794	74156713.6820467	75874525.1942416	72760356.8728861	52151132.2907615	40847964.1179834	53556840.6467898	65797428.9688871	70959317.5214975	66885428.7959294
"sp|P41216|ACSL1_MOUSE"	77784759.687487	63708862.261364	52346286.4213037	55829686.293296	55319333.0526688	53538874.0144049	52403424.2354014	46699351.0679198	57925200.904197	88093135.1537609	92990242.3817633	63819525.3023884	42201286.9988903	50835902.7642123	43360111.5286025	47063694.3584284	51848877.8145391	56435975.2727105	56621671.2060417	51123660.5414002	73319602.1245577	78128589.3741889	72736112.5523167	86547678.783323
"sp|Q91YI0|ARLY_MOUSE"	52485485.4606413	45602002.1222174	56055584.9847633	61050764.5313103	63218093.893098	61945261.434607	44302851.3865712	67212903.301754	47153589.8486481	47096420.8424967	48114183.8468577	44525298.4682918	72403471.4000324	56269734.7672048	63777162.1100779	71393926.1036469	64876692.5744495	71549306.1461934	62862855.7227093	69658682.6762168	64593928.1835615	62665268.8023431	65474411.4307194	66013790.4453234
