"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q9JKV1|ADRM1_MOUSE (+1)"	2037477.18233524	2363272.16749226	2059497.06951204	1774960.40123686	2039565.82639703	2140997.81070306	2452714.57072816	1934422.25615624	2114758.32989985	2361507.13756748	2282068.73086235	1863753.96709011	1836042.50331582	1865145.48091117	1860287.86819252	1838077.39640238	1867089.64430807	2087000.33184566	2067836.61355453	1907926.25677162	2136970.25359194	2154454.76293006	2250291.92350753	2259809.89019809
"sp|Q9CX34|SGT1_MOUSE"	1971363.04730927	1869282.92547276	2066564.432296	1962370.35149607	1810259.79069974	1844486.86968401	1861428.87670195	2609121.86104114	1973268.94983721	1822334.79118338	1950419.42003059	1971873.1703077	2435809.28593883	2349895.77465672	2346200.23307056	1885905.10671131	1705282.35140991	1711640.13561295	2696060.17817496	2713936.80047806	2633588.69049117	1967560.96424803	1766991.43654678	1859492.60776501
"sp|P70295|AUP1_MOUSE"	2121379.77238895	2194537.28744908	1900628.76320505	2096384.2888128	2254934.39226832	2347423.30158528	2174254.85648838	1859530.87873975	2361026.84314956	2324531.59982534	2272162.36561869	2109075.29054318	1889063.16736162	1669815.29500076	1719119.48088505	1918550.89337582	1955792.20371416	1884900.59040656	1926455.50953149	1948143.99613216	2206865.63369854	2039374.76615548	2315101.47996219	2034236.60240521
"sp|P97855|G3BP1_MOUSE"	2059774.9846384	1811847.94362933	2036237.73366686	1841877.49719766	1873307.91357596	1844725.11081506	2206039.79343195	2291707.30687782	2183503.12089317	1881757.33463605	1943711.87095411	2146752.94527794	1920543.15051495	1927253.02269355	1951634.02582243	2036942.80166786	2053550.89937851	2100055.29524323	1931769.92118946	2316662.65956161	1840824.98423404	2298191.5771774	2153739.05292774	2198656.71157434
"sp|Q922D4|PP6R3_MOUSE"	1728784.17176328	1767163.72956989	1866100.49539309	2185784.36172868	2274496.96946479	2035381.75560662	1957176.65267738	1998266.34466167	1714161.02913352	1672383.87600293	1640537.41784145	1756869.37718575	1888667.4348924	1766208.69646915	1844914.83286035	1818132.41719798	1768809.97260803	2085668.19272346	2004322.4958809	2316385.97679204	1837938.52561278	1794495.19195737	1710324.35398766	1984433.07992436
"sp|Q99N87|RT05_MOUSE"	1923345.3371337	1868476.60081551	1853380.0078694	1985254.05494974	1811590.62178947	1517670.19391129	2185662.37739411	2051219.99371486	2645730.13373876	2086697.08126336	2166216.55024796	2315200.84215041	1662433.59951912	1691266.32118358	1742490.67772882	1772018.43628285	1777882.81941837	1906098.88975113	1735863.95889815	2034640.45505257	1572574.96796972	2115749.59285054	2249627.47535676	2230852.67491844
"sp|P17563|SBP1_MOUSE"	1679984.23791676	1558711.52060976	1657368.33728572	1930974.11759349	2096216.78925136	2318758.08690068	1479982.13468956	2675271.00071518	1586721.00935036	1635791.08466583	1513741.24513294	1456188.90729565	2868825.10150209	2562204.21093702	2504331.24847925	2182391.41338611	1929077.92876675	2028405.53157062	2722986.2453718	2438596.21359656	2867346.60326816	1735465.96040041	1659226.50076414	1674710.49954176
"sp|Q7TNV0|DEK_MOUSE"	1961189.21994122	1946407.92565574	2070013.91006965	2167276.92998386	2118368.51539485	2075261.02212642	2141797.53223171	2034390.47069992	1972673.70867708	1698130.32335105	1702621.32921991	2024038.78364116	1937807.78164535	2069127.43839972	2006951.85418507	2283254.75147148	2375055.04074343	2291310.81408756	2009360.97310383	2168070.99193607	1935806.70546248	2023344.66031723	1983053.4634424	1932866.79611306
"sp|Q3UJB9|EDC4_MOUSE"	2199497.84299424	2181780.91369992	2382200.73874821	2027981.65002742	2051943.19535421	2093375.70742414	2196296.38677343	1971023.28933282	2024722.07784549	2040625.96167693	2098289.93120318	1986896.12800881	1974572.39758367	2156199.16845798	1962951.50802412	1977908.61548822	2002483.45219641	2087350.14547775	1882297.4438172	1896594.19855434	1807330.21682257	2097343.66369563	2046927.02332539	1979868.75138275
"sp|O08997|ATOX1_MOUSE"	1486437.50349571	1480581.18400592	1563015.3123686	1724370.53111036	1424230.26587796	1303305.42182855	3005188.96909429	1861938.72989151	2718120.54504614	2579964.07171091	3033991.65605907	3327462.12672755	1652134.92939432	1579654.3000117	1575229.96174531	1933132.25344506	2555984.12009896	2055268.98133487	1467156.2253132	1969895.60194236	1505592.97240436	2059958.94702655	2021995.29742853	2252973.42446947
"sp|Q9D880|TIM50_MOUSE"	2115639.52975209	2018021.32774699	1942058.85714221	1967827.2102275	2149048.01094909	2205430.54256237	1693889.11865313	2076525.74626844	1886559.37267778	1836051.26758192	1725567.96705821	1654486.0959686	2000236.18298659	1785053.31420099	1891889.39075495	2050517.1561464	2008827.56414808	2036410.56910494	2127207.43664918	1998251.7882168	2076159.67888474	2266149.23629895	2363835.96670932	2347786.52067078
"sp|Q9JKY5|HIP1R_MOUSE"	2534584.75290352	2531179.23334503	2401078.61586231	1979744.32992561	1594353.77381143	1897746.30148053	1900547.09321999	2127312.11732631	2170463.44538531	2533517.65577112	2177456.74595401	2239220.90979725	1847866.34776797	1897158.35725224	1851477.13195622	1561947.56619645	1884969.93504264	1615452.57268943	2158836.15388829	2173981.15290021	1897735.60869214	2110423.10221372	2172254.07969192	2279174.19441501
"sp|Q6P069|SORCN_MOUSE"	1859737.2696422	1870294.80218633	1916683.90538648	2211277.54538951	2176036.79624566	1974180.9527751	2138283.9093462	1599575.1563964	2085057.4649099	1781613.73995933	1838595.24285506	2163375.41311596	1840025.49714122	1900253.72142278	1847802.24446253	1946286.01121103	2178907.56330364	1979237.3951603	1461640.74515217	1689652.84740233	1468368.42655802	1707160.6019557	1779109.65783549	1675795.43000794
"sp|Q78KK3|S22AI_MOUSE"	2281694.29990906	1709271.86156493	1661598.61224752	2010597.09833934	2288150.78458737	1999906.81525951	1718322.14787767	2201947.02468175	1960275.63267516	1999888.14783661	1803783.09057439	2222387.1859034	2054401.2625515	1870628.69744184	1909018.29862609	1896484.73171231	1865480.51643933	1747083.17146423	2343765.70103657	2697183.93003812	2453881.86947098	2155394.96547117	2029571.79677648	2219237.3010551
"sp|Q3UM45|PP1R7_MOUSE"	1960534.90705924	1813551.22271413	2046970.82442609	1993482.16474397	1959469.62929676	2061924.74337384	1953597.38775867	2050535.36702294	1873284.19677323	2088879.94640548	2002113.34977429	2026193.41250485	1981258.13721916	2073261.70640681	1976877.17730869	2155236.63813027	2198747.90350082	2106155.67890283	1936910.00217723	1999623.2667295	1947214.67923727	2116997.57024672	2101950.88979906	2088760.87593482
"sp|P53986|MOT1_MOUSE"	2062118.7038638	1975064.68528809	1615788.97329788	1878798.2586863	1745981.07561393	1718630.76762075	2034311.36402101	2058672.46259654	2024173.19503117	1971808.90305633	1815457.53540288	2181687.92940055	1888066.34935806	2239354.17006007	1818045.48613996	1853018.69019681	1851904.66732799	1698293.32188861	1924133.59612649	2127047.07493712	2458181.4003725	2267506.42412757	2265459.84244634	2270759.46569771
"sp|O08529|CAN2_MOUSE"	2020590.99033423	2316843.56393676	2025640.51692812	2413646.5418282	2082904.21286974	2205985.39361758	2096739.59876306	1622179.49495973	2096584.93117762	2374209.47568114	2531762.89047289	2294031.33920616	1617777.86423499	1785071.61192022	1684391.06202036	2009185.44073727	2091421.92527905	1955694.12420062	1669147.71836198	1701511.14539702	1930434.44590917	1732962.06303115	1786033.64522699	1847395.93387971
"sp|Q9D404|OXSM_MOUSE"	1935309.91554718	2034693.46816888	1885813.7106754	2230828.55775203	2552347.41517654	2511629.95624411	1346604.61965176	1859757.67457887	1372680.81810386	1388469.85654638	1309385.43653097	1251305.2852287	2109399.51939621	1703261.49268189	1972811.16633104	2237264.11863072	2068056.64156488	2262825.40867453	2349680.10966377	1998347.27089807	2051029.17925414	1808749.13903526	1918838.72733829	1990887.51376054
"sp|P20060|HEXB_MOUSE"	1440824.51615259	1764303.75300458	1545542.10470575	1869632.30085976	2228011.72197781	2052818.28961463	2018129.71578132	1924267.31349068	1966197.44776821	2022854.79465179	1925912.22797754	1948270.10734381	2685076.89011549	2478519.59201708	2786212.06095781	2245743.7932182	2169244.93230195	2280835.72622666	1981518.33299677	1936433.26228124	1881515.4344995	1580228.29479483	1622953.40089257	1588135.65538304
"sp|P06909|CFAH_MOUSE"	2394059.99229381	3034749.06984368	3216233.75087365	1773168.23391468	1484945.16886289	1532579.07311225	2782443.37406504	1636483.52972879	1981555.9677332	2303432.12221235	2211034.71651828	2296938.62492673	1542647.52017881	2014050.28696329	1451781.35067379	1702689.74114294	1971064.66534929	1740611.61927058	1194898.77703862	1587544.97009527	1397995.91914947	2203211.26408269	2064359.83513742	2177757.26082904
"sp|Q9JKX3|TFR2_MOUSE"	2203283.01841831	1556516.78524488	1892293.56184964	2037134.91994372	1784377.89856915	2170821.83860842	2021905.90679965	2376825.69292746	2015014.64023406	2161566.37561715	2172104.96834822	2240346.69423324	1715098.10434262	1647529.68951285	1613657.32115217	1883960.85796542	1950372.08699561	1849052.82831815	1574455.14855449	2261364.08171371	1563366.30333844	2056333.16066947	1950297.56216534	2284164.67401773
"sp|Q9CZR8|EFTS_MOUSE"	1903873.37933741	1977285.58182378	1864711.13569064	1928483.05788195	1737940.63778011	1978447.34987193	2122091.61645248	2159731.20479654	2027419.20640439	1610569.86596112	1849050.13330601	1886458.96318467	1814974.562292	1935441.25205108	1746574.46704666	2069826.18503299	1981084.11578676	1990950.05043473	1921274.78703779	2114079.8758032	2084892.29325087	2448473.07479434	2341990.74172839	2334365.2690167
"sp|Q9NYQ2|HAOX2_MOUSE"	757535.904749058	928120.790913677	1025354.1584244	2969587.41842744	1912644.20943988	2750333.98563186	2342541.51442854	3283503.52783382	3063318.69540932	183951.088533061	360702.862644564	1898219.7981537	1043352.93330346	703261.656846412	1120318.83900245	4155167.94014104	2924763.39629557	3454926.20212886	216641.686425893	3499650.76423312	603533.725860356	1947681.68707726	1319762.12883693	1350529.86704112
