Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q8C196|CPSM_MOUSE	2410910559	2938579001	2611322121	2918735009	2763955012	2352292345	1874294084	2392929873	2558887795	2415453700	3188793358	2445278712	2654735941	2584762240	2212253276	1873968916	3173562226	2558887795	2479473104	2685426858	2622874848	2836993908	2463273525	2517000448	2344952705	2494939553	2558887795
sp|P16460|ASSY_MOUSE	812882700	939857502	874894740	796951280	823671939	639884498	668835252	762733513	796995286	919930402	1015344379	821198914	744915414	724483598	571172009	642411063	972221055	796995286	997176356	876422746	824558474	772050757	730084560	669286103	699239748	858613502	796995286
sp|P00329|ADH1_MOUSE	756697249	475803710	773118197	616445606	716985275	586315544	457381007	505678032	623057985	667943288	651804237	757517810	596715290	633992771	568540581	497900359	585598205	623057985	686329817	511857893	795174239	639653224	647190618	603847892	534950400	552573624	623057985
sp|Q91Y97|ALDOB_MOUSE	422322377	355177189	404238082	333769187	450429726	393941188	369752074	425803880	396507023	420670718	413882324	387318356	316471794	461364975	366209301	379790893	405443762	396507023	414714368	345354996	411870784	342497020	463338762	430069951	379050945	384190486	396507023
sp|P12710|FABPL_MOUSE	387613455	261699527	300664872	339519766	406173452	484845359	569374958	320473607	378999183	391883478	191392905	383085585	328919894	372938403	475834399	629897205	229307974	378999183	394218522	325111605	306004711	311322746	367928327	390198685	524406819	434812141	378999183
sp|Q03265|ATPA_MOUSE	308311726	274684208	305693409	271234885	269993219	277931933	276680778	247656533	278988916	317626065	237538304	301660183	280793498	265121959	284904518	288274769	257462809	278988916	308948338	267956480	301897104	265147337	262119232	282917922	278155350	268003403	278988916
sp|P63038|CH60_MOUSE	263153407	252628579	252542801	277569459	243692234	253824491	235203848	238951638	252081740	266871252	228955183	272727175	262090783	241274414	273189095	247742147	228448870	252081740	265011607	256839617	253912223	260930367	236838891	250400108	244533733	247957371	252081740
sp|P50247|SAHH_MOUSE	248767784	306569224	224175044	295964028	246098369	245377915	215217943	219188333	249908726	231320786	315517534	196232971	270000269	267048184	227103710	196902429	309863732	249908726	246916549	306846291	216797826	287026866	270916895	258023248	188313803	201262855	249908726
sp|Q8R0Y6|AL1L1_MOUSE	243852402	240490509	273331611	282870797	227298708	195456547	207903016	217977240	238902216	234300203	279723867	243760171	226543870	252832060	164992278	207605424	288950468	238902216	234231902	225008278	280968832	272982665	271052222	201490897	195304418	229000374	238902216
sp|P09103|PDIA1_MOUSE	222194726	228815832	181986253	245710506	182593970	210660583	250011828	267813465	221960478	195085453	262209101	191437437	247954104	191419252	205221591	245384447	251977826	221960478	213311270	240045070	176442732	239850465	199770298	222195349	249094933	238851477	221960478
sp|O35490|BHMT1_MOUSE	185360446	306242471	187505961	330782743	161276584	147116388	157045150	223307698	213609425	166135138	213967251	192496243	221523784	306222931	131119913	198359394	239047952	213609425	206267421	230422903	207532005	274774741	287503411	128059651	137784268	242772494	213609425
sp|Q8BWT1|THIM_MOUSE	179345986	265292058	165071395	241502732	280874191	258326409	151672628	139271736	210849621	186594189	220415158	168404605	247214363	254269985	261664117	149834675	213460647	210849621	181429628	266900669	163052727	233149925	252820394	246766292	157871668	152811380	210849621
sp|P24270|CATA_MOUSE	222006145	247023919	185363271	226664563	228379000	237276347	154920658	174114920	209034498	195649745	240269497	169938030	238593507	236140256	196561508	148645490	254520552	209034498	193136782	274026560	182844433	238531595	231548574	180877071	174200463	175397080	209034498
sp|P02301|H3C_MOUSE_family	184090333	189370338	232481989	188460762	201181569	169460486	165674382	217627916	195036115	179404776	169445336	243239417	195428656	199706685	197737001	186131890	177417175	195036115	182614967	160501815	229313378	205601536	190454592	203413165	203130876	190942315	195036115
sp|Q61176|ARGI1_MOUSE	174330234	222842991	199128575	197151455	166366616	152069565	155255356	168024565	180350274	175589120	222616111	189582459	170135141	150207496	138029012	159410692	233593170	180350274	188504643	194476164	189326448	201426996	156066716	164644806	171398331	170754629	180350274
sp|P10854|H2B1M_MOUSE_family	173298181	161867261	216210098	179426483	184459674	160850577	154037070	203151332	180955815	166648122	179093276	212377796	181823061	191396400	170563764	155785317	180169136	180955815	160249583	146242978	209958064	177821010	200624706	192869897	187147713	170649906	180955815
sp|P24549|AL1A1_MOUSE	131589162	242486937	132995005	167263659	235351545	204012558	170208613	65544137	168775787	151089791	139387417	133187917	156605211	259122861	214938254	147882966	135979831	168775787	122923541	234817753	138650502	167778378	262755696	189908609	94335304	91037825	168775787
sp|P35700|PRDX1_MOUSE	191370820	141501305	166432324	176471900	145191350	173114321	168578367	191152416	168406586	189027060	172096865	175054147	177807410	138733115	164349116	167417034	172390077	168406586	180249624	149444524	159369481	171441017	138588040	156351424	204239223	208287856	168406586
sp|P54869|HMCS2_MOUSE	168602004	179065321	162213670	175252776	148596287	146033528	126226934	172577187	160148512	144676773	188081430	147297469	162746268	165905434	170959122	117282158	191023004	160148512	152101418	190971464	154643803	179153249	157929618	146220766	140036813	153507511	160148512
sp|P10126|EF1A1_MOUSE	174594142	119181700	142537576	122498609	145477876	159773143	191959029	208040931	156522581	169800437	142173817	151532516	145783800	136472800	159993864	195452812	154816992	156522581	171546549	118407580	139623605	116956950	150865812	179761156	205285536	187866207	156522581
sp|P26443|DHE3_MOUSE	154663980	153635878	164563572	155045700	121533917	136803716	154785617	207424067	155606883	161590060	159859870	177078081	164645359	109227405	145087195	163069842	168739298	155606883	165417589	152341874	156875502	150212724	111876128	127866309	194577221	206612526	155606883
sp|Q8QZT1|THIL_MOUSE	149809311	157941955	142281855	139156531	140494217	121477712	111225327	201604087	146496878	167773756	119849299	181978702	153228044	155203854	150237852	118553759	118366689	146496878	156699425	142728557	139409315	143556198	129739097	107438544	167288127	213957166	146496878
sp|P56480|ATPB_MOUSE	153811892	139813227	156415791	141423529	145887716	138953324	139213949	125179686	142944963	159942496	128068218	158740468	149529772	132187623	138675894	144272645	133593453	142944963	157991436	139647708	154937399	142552927	129324294	143806334	143368616	130972540	142944963
sp|P11725|OTC_MOUSE	123755712	175127431	145319909	185497724	137331885	121309878	100967237	97047599	137005093	131054760	133017325	144279087	178775216	145266332	130067883	104234791	132402592	137005093	123877017	170608001	147035742	178236295	125243537	124171733	105296441	109188117	137005093
sp|P32020|SCP2_MOUSE	174995359	110860003	112232619	94089395	121281623	213597782	175863084	109354864	133979646	155404845	115552155	110132336	121123374	135158019	166173449	168900619	106354094	133979646	169170642	143221849	116627945	109924010	129189359	136722269	141332613	121981146	133979646
sp|P08228|SODC_MOUSE	103501548	105376719	120892398	119395359	171349751	160448032	140172235	100245970	128217548	118772798	99682099	127381534	113743925	167768224	160191327	128504240	100804636	128217548	115388966	118240325	126389861	122787671	171250702	154404322	102378939	103014308	128217548
sp|Q64374|RGN_MOUSE	96618249	96179733	123596525	135270644	176162574	127890076	120756193	109420208	126131291	118799750	89050058	135820312	133411090	165274923	145823618	112933737	96502995	126131291	100184051	93668207	138222286	132684691	180123901	130367131	108804659	123514185	126131291
sp|Q9DCW4|ETFB_MOUSE	119600422	128427555	131119690	134774785	135933184	132576584	95023076	101784690	123092998	121827324	125138118	127018719	133405405	128618875	134750669	96925763	121227512	123092998	115685257	129257571	126542303	136651894	128887584	127783436	106152306	108042420	123092998
sp|P14211|CALR_MOUSE	123035297	105416841	92853600	94670218	94219418	126086863	148777692	159873736	116047242	118861168	101906969	110640763	106807896	98308531	140214898	156059622	98549120	116047242	123161056	106117430	93967491	95814041	90700708	125738820	156500361	149416680	116047242
sp|Q64442|DHSO_MOUSE	100379153	101023823	110969921	107488259	111017870	107408260	163410919	111554648	113920392	107457595	81208209	114639176	118223596	115283645	109995830	170570154	83884282	113920392	96868037	102126115	112233426	115274892	116369181	105550983	140837877	125156242	113920392
sp|P47738|ALDH2_MOUSE	106335576	131370739	113926441	137819366	117175660	104110362	98924301	71574281	111214155	104968392	115697449	111304184	132368756	106831553	107643378	98449110	116194334	111214155	104748268	129538009	111171194	134217621	108326858	112352841	96709106	77358373	111214155
sp|Q99LC5|ETFA_MOUSE	109347783	116760145	116996942	118216786	117340534	119243350	90180930	90246358	110027610	103846261	109167136	114178521	119418853	114370564	129616278	86098531	108364653	110027610	109382487	113811359	116504673	118986733	112127445	118540202	92176071	91798407	110027610
sp|Q9QXF8|GNMT_MOUSE	74651611	159610497	87408695	154288042	120161928	95716150	97362690	81634630	109997800	75530289	135383127	79542660	111152522	132613027	99448642	97030871	144931750	109997800	79703203	138092186	92343276	157407058	125157132	104221520	74294906	95655316	109997800
sp|P16015|CAH3_MOUSE	71750069	115570620	74753716	88532807	191751669	175680751	126722422	34191738	109991316	80985105	37533182	75091255	95273002	160366684	209152139	171957201	41316420	109991316	90325255	124831657	85053377	98737174	170775779	145861116	80328180	52770758	109991316
sp|P20029|BIP_MOUSE	117152236	99062837	83295810	87532193	83614388	122991767	139407696	138480005	106334401	109140130	91743734	101050896	104833418	78436124	129239137	150330189	93610874	106334401	120236043	97814930	81282399	86209341	76015036	127414536	145953376	125993277	106334401
sp|P30115|GSTA3_MOUSE	92442999	125429728	123225258	106568250	106406590	103715465	112211028	74811128	105767568	96794152	112842721	113579560	101237151	104653485	97027462	108494855	107840280	105767568	86461020	125047105	119795989	113436997	109006541	104563776	84474494	94787869	105767568
sp|P05202|AATM_MOUSE	102480948	119674476	101939125	110244299	97181064	102505845	107288873	110407793	105997839	102148977	113712199	100465869	112421546	102480900	103371417	103389848	113771519	105997839	105468147	115529010	105873437	110400395	106258854	97124887	98631082	111668225	105997839
sp|P16858|G3P_MOUSE_family	110953451	121311250	97845519	99240191	97759797	106062061	106404791	107061514	105134120	109458236	118480975	89267991	94402313	100207176	96028242	112835939	122084778	105134120	115562529	111332189	104548021	91329588	108215659	110471095	103806555	86057662	105134120
sp|P17182|ENOA_MOUSE	113160912	107110201	114346208	93989831	104930647	106711611	103957753	91412739	104251303	110607809	111627574	106000318	87182650	96223779	98878300	110136658	113931193	104251303	114219191	105823338	114167038	98951264	100236177	106052934	102645827	85156650	104251303
sp|P09411|PGK1_MOUSE	107824271	100899328	99379781	94558700	96020799	102526298	102293613	102578185	100197531	106830884	111524521	95034976	97687810	93027783	96220816	100839796	106231360	100197531	107197588	106932384	96315439	93225929	93025348	97562543	106312663	103478707	100197531
sp|P14152|MDHC_MOUSE	103717152	94536070	108427358	96218173	103838618	93268605	102300835	89876684	99320494	116052259	83769436	107011381	96317475	110045452	95241731	98430865	84933279	99320494	111892122	94806727	110190963	93980542	105797006	92284378	93258521	94571980	99320494
sp|P52760|RIDA_MOUSE	79248815	104025698	126001384	121598916	104778983	76963047	94471546	61689589	97995896	84807196	89830851	117005448	108851722	102255817	82236735	93851089	96148455	97995896	79188382	99181633	132505592	122502706	105298198	88984017	77107212	65962353	97995896
sp|P63017|HSP7C_MOUSE	97328319	86116369	88514182	92537217	92675378	104577800	105056706	113538239	96683288	99482181	95106272	97984992	96476736	89074576	102834814	105297898	91128277	96683288	99963488	87362380	91603671	91838313	87427682	102006813	111423990	106881300	96683288
sp|P08249|MDHM_MOUSE	98497694	103386917	92936354	97258901	84632496	88297016	83073695	79035103	90745366	95376528	97475215	84948940	93569726	88637990	88450385	80316437	99918283	90745366	98502460	101810666	94447651	95516560	80764105	83209267	83676377	86825203	90745366
sp|P25688|URIC_MOUSE	66063475	80445831	56499884	75484214	131970595	152423702	91252784	64491665	88550466	74814481	81478560	59779655	81157176	125646861	131567980	73789087	82141493	88550466	71638350	93078476	57226217	74437125	119364996	139688696	74932543	67056168	88550466
sp|Q9ET01|PYGL_MOUSE	84752157	81525570	89927129	76008148	101290800	93267639	78571591	94354563	87773170	96026952	76347911	86895139	76387950	104444292	82543421	92790139	79860650	87773170	86655243	71325574	93638685	79758941	103417132	87518010	92785969	87150240	87773170
sp|O08709|PRDX6_MOUSE	79289455	85181844	93386978	94402168	93279822	85985479	84229141	59902607	85154208	83301332	70271390	87708563	98044914	96364211	87233186	85138374	69595969	85154208	79392248	91511222	91770308	95561317	96258537	80990702	70756591	66063600	85154208
sp|Q05920|PYC_MOUSE	74612546	81463026	73816566	94854633	83601583	92379254	74125064	95625854	83652442	77188586	85788814	78018806	87119758	87961313	92037356	73317662	89391590	83652442	77667580	79816813	76254073	90495907	89060717	92854338	83290912	76428768	83652442
sp|Q9QXD6|F16P1_MOUSE	66807494	76954962	72085967	67051261	92824648	80005177	90415180	94652974	80289919	80386540	69123698	75328407	64865824	96658593	86106459	92131120	71584590	80289919	76964803	77726169	81275329	69181417	91774755	77888644	82974653	85242162	80289919
sp|Q91X83|METK1_MOUSE	82227657	78804121	100934650	99583424	79448586	40946524	39338968	99143792	80075230	67476058	105824169	82830946	77992934	101000973	58054166	32321894	109245563	80075230	68906160	66487019	96691136	92200269	105629819	72550482	56325832	83453793	80075230
sp|Q9DBM2|ECHP_MOUSE	92427416	45689856	86017749	44723688	99582322	113524959	82083052	49414386	76050627	83233060	53113331	76393997	55749266	110325937	103486750	67842693	51858787	76050627	75071176	66530903	89854695	53806469	102627699	79432622	73887144	61363256	76050627
sp|P56391|CX6B1_MOUSE	74131882	71428957	72942006	71404545	65593183	70199554	70896313	62097758	70109206	80678782	68898019	76100256	66349122	64417846	71398851	66558196	65405701	70109206	78177786	67916955	73055713	69234906	64875020	62685789	71164982	73803430	70109206
sp|Q99LB7|SARDH_MOUSE	65157329	76956162	103100401	105068287	76269229	62738645	52318188	52562087	75745551	67353642	63153629	93965118	93529360	93561458	69380907	48963957	68857883	75745551	62207963	70035267	109824447	103480896	88478533	65336363	46551920	51431040	75745551
sp|P19096|FAS_MOUSE	65945467	57893727	67658204	67707345	74762020	62588568	81460753	112645714	74381909	75926210	69144608	72642747	61705665	65870052	68246738	107159273	71359986	74381909	63910385	58460871	77187743	73611476	73789283	88199118	77771829	89018892	74381909
sp|Q9EQ20|MMSA_MOUSE	72604652	74268656	83694370	78169213	80080720	71680516	64703105	54511916	73082618	75288903	67922932	81273674	78131380	77761890	75977789	61836386	65645334	73082618	71502290	77636466	84134682	80027215	78624610	72231994	57268094	55539658	73082618
sp|P27773|PDIA3_MOUSE	72391708	69560791	59415175	58386120	60599554	79826777	91135559	87222571	70887647	70736790	58068710	72371308	65519617	58658016	85020267	95027074	62372460	70887647	75870513	65034541	59608311	58016873	56149701	81948102	91645990	85577079	70887647
sp|P08113|ENPL_MOUSE	66528982	68392325	52677159	65176720	58173346	80232699	88589209	99753867	70855014	65580972	66217491	62841930	75581762	56664455	85248588	93797727	66952398	70855014	68448237	65862389	53673855	65041806	57893051	83814096	91702455	88981676	70855014
sp|P62806|H4_MOUSE	66999487	71699540	78802315	67195854	69770733	59655816	61018548	77117815	69439591	64636870	66360968	78706477	72923376	73876063	65777542	62455717	68187871	69439591	61575138	61010993	80318278	75190679	68571285	74671562	66046380	68607694	69439591
sp|P35505|FAAA_MOUSE	59043439	75334529	60913044	79415126	69027251	60013047	63842507	73606049	67985271	63058247	68964165	63326598	78428480	70957651	61703904	67112099	69858414	67985271	60509612	72900479	62149285	74234866	72394436	64685241	66053910	70066228	67985271
sp|Q64433|CH10_MOUSE	67753833	69360508	71870570	71659742	73131797	65094591	59992333	59873485	67748018	74464372	63821296	80278900	62962493	68137747	67118303	60045527	64104538	67748018	71946778	66544903	75377534	69995911	67313507	66021884	59121248	67022100	67748018
sp|P06151|LDHA_MOUSE	62530302	54393125	59302147	49371339	57161740	81704008	79184766	109111540	67512516	62704561	62417192	62299437	59503444	69591713	89732323	75164115	61556128	67512516	65450929	59500559	59842745	51986832	63917659	80400744	86312511	78211228	67512516
sp|Q8BMS1|ECHA_MOUSE	71083874	73376504	69307762	68243884	66321740	67390163	61472859	61145986	67228449	71277175	62437131	72182438	70668666	63636904	75504210	62363257	62231132	67228449	70551741	74121867	69224811	66635731	61097236	66570727	65562548	62262770	67228449
sp|Q9R0H0|ACOX1_MOUSE	71037873	40032735	78240924	43581533	73163915	78949422	78906232	70089499	66452965	57691225	47724681	66028425	50707789	100234434	86450251	64360457	48475875	66452965	56175168	46113511	83522503	50466478	90365394	74145259	64297436	67715969	66452965
sp|P55264|ADK_MOUSE	46006405	85661000	55001782	81487624	70154383	61860052	55578348	68459221	65976456	45109272	88081228	50865686	81871804	67352874	61265937	54861614	82840978	65976456	44780624	79156321	55514114	85189947	70992507	67273705	57441925	61264143	65976456
sp|P38647|GRP75_MOUSE	71686971	53302071	63911223	53608107	63511959	66263912	60333013	58350505	61294664	67600455	61165106	66209280	50401414	58503321	64571165	61484035	60884620	61294664	73192444	54633532	62282740	52932699	57178926	61905872	67473909	63602575	61294664
sp|Q9WVL0|MAAI_MOUSE	66273130	48761555	73346253	51905053	68098390	60234691	61012243	54445229	61086100	71338635	37646836	77188768	56388510	71854242	62408948	63391421	40103697	61086100	66704767	49726101	71551136	53550493	72482306	59620108	57929458	55278470	61086100
sp|P41216|ACSL1_MOUSE	78693442	52941530	46549334	39457152	52802725	79055245	94595999	59075766	61025504	73124928	47117258	52746966	50008760	51876251	68186862	101716648	44064570	61025504	86313908	68075299	55498053	41461795	51237430	54706357	69784084	62475483	61025504
sp|Q91YI0|ARLY_MOUSE	63118325	58777067	70613660	67695442	57740728	53342749	50572987	49943776	59566092	65824409	64199748	66000439	55354179	59283392	48807298	52629323	63420746	59566092	65835483	59973743	70360212	60984982	59282457	58582892	48686623	50857714	59566092
sp|P24369|PPIB_MOUSE	66499173	38029092	48214453	39679728	53433431	66970496	67537270	84967978	57347595	67876744	43571952	55980516	50448011	58595928	65218453	73707760	42181979	57347595	66303355	38976022	44913288	39284140	54405049	66206171	81288061	76852473	57347595
sp|P17751|TPIS_MOUSE	56108484	61666918	59989805	54928810	54261248	55561460	56368118	50254530	56046897	57746423	59767416	58596456	52388068	51071860	56262433	53139498	60413126	56046897	58801463	64251805	60147054	52426336	55149377	56736690	47856812	50015663	56046897
sp|O88844|IDHC_MOUSE	53746380	54475937	59053631	50785413	51671133	51975938	71663114	56855801	55997437	62429352	45642996	62530484	51537356	48854161	55116950	75207870	45069088	55997437	57086155	54887653	61745564	50875343	52662885	53058217	60726189	58764777	55997437
sp|P50172|DHI1_MOUSE	47324986	71177253	61001437	60425251	57601712	51086649	52830141	41273019	55469794	47476217	60968857	50343577	59342344	65981100	53409101	43353753	63092240	55469794	40067140	78040965	56026092	65928174	59912363	58435315	37222453	40124549	55469794
sp|Q91VS7|MGST1_MOUSE	84186483	62115171	38633566	53964707	38475900	51121565	73569818	43805401	54367577	62060217	43678409	53207338	61221010	39238138	63936874	76205527	41297649	54367577	78644047	75540622	45553239	51984821	45180455	47117225	52425138	31314110	54367577
sp|Q922D8|C1TC_MOUSE	51316702	61731892	55546740	57266745	53516981	50126698	47928062	58250353	54569007	54930124	54422440	56739342	57335474	57906513	49294059	49841155	54524892	54569007	50755056	57801916	55684167	57408307	57572348	51008725	50504795	54662575	54569007
sp|P10649|GSTM1_MOUSE	55999321	44603653	57252477	38149804	61270744	58761753	78560460	37948239	53896294	60398919	59220614	47864042	41115430	49789224	50656108	62372876	60360288	53896294	51697183	58458001	57833593	43700335	55804190	54993236	54691168	51306200	53896294
sp|P58252|EF2_MOUSE	58967938	49574784	43455106	45609269	45060437	55945014	64001144	70931302	53384805	53510691	55418484	48461447	47154549	42490331	56496285	68477894	57197133	53384805	58696999	51707557	43298170	46507085	43885676	59381067	64706644	63237830	53384805
sp|P11499|HS90B_MOUSE	49419911	48250378	45367354	57006767	48886337	62274706	53092157	63788972	52873185	48811756	58796229	48494070	56932472	45470869	50186840	55142376	62505934	52873185	49541520	50006120	46175475	57872608	50230481	52152587	58858297	62379902	52873185
sp|Q8CHT0|AL4A1_MOUSE	44077568	54698645	58719453	69966017	53581924	47954264	36664911	42631813	51874840	47082651	52666041	53650772	65831018	61033008	49816371	31676056	52798880	51874840	43049980	50712500	59247183	64074898	65608374	47479936	38236162	44141925	51874840
sp|P49429|HPPD_MOUSE	48532504	53314308	56646968	60444484	53123201	38828445	36044574	47427432	50241502	54075625	58699130	49078725	52265567	51741754	36641308	39188088	59561982	50241502	53893706	54581202	53151333	57185542	55614739	41747577	37936008	47630027	50241502
sp|P62897|CYC_MOUSE	63773466	56089813	54594566	55666436	45200745	51302719	45302384	41240584	51487594	58959149	59884927	51608212	58207824	37728717	46026255	44529942	60271388	51487594	62075469	57916671	53060809	55300719	37221727	48108510	51791491	44659582	51487594
sp|Q8VCN5|CGL_MOUSE	44546744	60016616	48602281	78097496	44900096	36826602	31534698	31079674	47865126	40451262	76748023	38910840	51454215	50140926	27161145	24048121	76013939	47865126	50902758	53287525	55174183	69982990	54776393	36918232	24630066	29589263	47865126
sp|Q9DB77|QCR2_MOUSE	51613361	53990125	49638891	47751794	49690174	50468252	47120496	42878529	49005464	54678721	47889857	48954128	48447274	46447984	49097016	48303284	49617926	49005464	52054116	53289667	50964515	49711309	44337644	47026351	46852205	47445010	49005464
sp|Q99KI0|ACON_MOUSE	52674140	52017460	55273261	51542872	48870720	45050581	43418283	35041763	48316445	51074454	51253227	47773089	55553140	46990335	44970729	40526484	49752469	48316445	50378395	55762180	53126421	52577988	50230892	45887074	35902629	38306261	48316445
sp|Q9DBT9|M2GD_MOUSE	39154526	51407837	46850587	73120802	45258991	41557328	35826182	36342769	46891707	33609228	51009519	46891440	57827116	54499541	39631897	36060856	52562058	46891707	34411081	49279518	46970514	64253500	59460623	42420393	35903405	36872768	46891707
sp|P97872|FMO5_MOUSE	62317634	32294915	43928157	32304727	55644977	63487235	42724484	40753139	46320134	66993630	35373805	49329255	34596453	49943422	55567385	46481970	33037831	46320134	64925480	35891791	41655423	29804675	55922653	63381856	39593101	39527081	46320134
sp|Q8VC12|HUTU_MOUSE	44947797	50232348	59035013	55085565	41050979	35245170	47236615	36441703	46510027	48876449	44724847	53740599	48765228	46626064	34863517	42898715	49602440	46510027	47458945	46932584	61313708	52719953	47626814	40535623	35423748	37658991	46510027
sp|Q9DBF1|AL7A1_MOUSE	45851291	50236757	49523408	45191375	43190261	41512372	51621756	37836605	45667190	50936773	39250272	49941149	45465385	44952681	41467166	52399270	39109327	45667190	49348855	52017771	51018315	43495228	45772908	38843090	41647552	40308002	45667190
sp|Q91ZJ5|UGPA_MOUSE	44043320	42719483	44616242	47751485	46375083	40237324	36555595	39239481	43084121	47258924	44193651	39961712	44442331	50599829	39761293	37862689	40757357	43084121	43771788	45002499	47355785	46872968	45649561	39940439	35883633	37708123	43084121
sp|P70694|DHB5_MOUSE	48919559	43074551	43304516	35373634	45202326	39476432	43135120	46659011	43237082	51502386	32568381	47300854	39708103	48532747	43831681	45628282	34295122	43237082	45956753	44322200	40778944	36188610	47069066	36947225	45151421	53287517	43237082
sp|Q9CPQ1|COX6C_MOUSE	47649939	38579680	44611988	41050537	39095479	42784370	39837385	37764707	41427344	46832462	40956554	42833967	43077759	37316854	41209129	38210845	41923307	41427344	47415321	39216736	42985458	40725354	37190800	38213775	43192408	43046635	41427344
sp|P11352|GPX1_MOUSE	40173323	37766780	45406562	43831395	43803161	38222050	45065502	40437563	42145241	42220797	34942186	48927718	45363438	40856890	40850190	47458059	35121012	42145241	37963376	40457697	47274897	43960611	42729958	40528899	45226296	37051382	42145241
sp|Q01853|TERA_MOUSE	43093321	40340899	39055140	37919688	38024432	47253093	45416633	44789627	41530634	43385235	36717476	41786734	39528032	38945914	47997285	46742919	37278975	41530634	41865046	42981141	38708682	38589005	37630223	42890020	44968687	45822040	41530634
sp|Q05421|CP2E1_MOUSE	35997439	42134864	31465477	34089428	43915000	45782993	56085361	42226401	41034582	28036369	38869446	29177273	48953735	43190268	46199328	51118045	43453848	41034582	27301070	47671537	28827766	40625224	47385453	40568420	43777034	55397485	41034582
sp|Q8VCT4|EST1D_MOUSE	33714689	37303767	41306478	44576004	56210800	43863948	45664630	21733318	41135275	34080960	37749372	37375566	39813023	54234882	42954148	42406621	37168945	41135275	30408210	38633709	42488721	47839530	50980250	45273159	36888872	31545908	41135275
sp|P09671|SODM_MOUSE	37862247	47786403	42554534	43631929	40324927	36902055	33690226	31621689	39432160	42954705	35912945	40860664	42899728	43413138	39348655	35265083	34858875	39432160	39186005	44838084	43145944	43425878	39639686	35346473	32134189	35040754	39432160
sp|P51174|ACADL_MOUSE	37025389	41497444	39711410	42025168	42068170	40399171	37520907	35182784	39401053	36705776	36823537	39134681	44812755	43635338	46043123	31408411	37556457	39401053	36384689	40483805	39962483	42187167	43596491	41130670	33547943	37914742	39401053
sp|P62962|PROF1_MOUSE	40912461	36443289	41499023	33701445	44093232	43883783	38628127	42889069	40157136	42149116	37718907	42502773	37567459	42475159	42790373	40099601	35187425	40157136	42672412	37525188	39116638	34757974	42125801	42188026	42666835	42123373	40157136
sp|P17742|PPIA_MOUSE	44788739	32574041	40451559	34635460	34823440	42270897	46519874	49160622	40237277	41837142	38592874	39514381	39378191	34515434	43516729	48890582	37359366	40237277	37788561	37887207	36235309	34270221	36256330	39861735	52547750	51039558	40237277
sp|P51660|DHB4_MOUSE	40828237	39463230	38504480	37075089	34168507	46713253	46744180	38220248	39498718	36717867	42037368	36381098	40607927	35877941	41424278	41473888	43638131	39498718	36512613	45566560	38403090	40806184	35878186	38951424	40865369	37486698	39498718
sp|Q8VDJ3|VIGLN_MOUSE	42477411	37964522	35921259	37115000	34291780	41640647	41416030	47154288	39292867	37714367	40112038	38828532	39303644	33478635	42585118	43280146	40606228	39292867	39457541	35199938	35594772	36205798	35222078	46856586	44286774	43244791	39292867
sp|P45952|ACADM_MOUSE	34413237	39786810	42858392	44635421	41662910	39804578	34654173	29989049	38910786	33017457	40730336	38667578	44610342	41752905	39792351	31074635	41319068	38910786	32322773	39502775	42300579	45390781	40980960	40684048	33408961	32132786	38910786
sp|P14869|RLA0_MOUSE	40246407	39206468	33815435	35029863	35603656	37563310	40679457	45219689	38080476	38204944	38082485	37286285	38439241	35120361	38951972	43677043	35991428	38080476	42319036	37148301	32900425	34014310	34438687	41184236	44007626	39850939	38080476
sp|Q99PL5|RRBP1_MOUSE	38767549	38454761	31946069	36575396	33681950	45610310	42109968	49395980	38896655	38151907	36574622	37564340	35280996	34404778	46308681	47048212	36923522	38896655	37653779	32796778	31723805	33865949	35229421	51076269	47129376	44072360	38896655
sp|P62862|RS30_MOUSE	20994423	18244654	18203140	16707692	15667073	17772741	18216481	22368489	18397418	16298675	25580809	17570150	17716715	20378427	15099329	12551524	21616486	18397418	19435340	17842673	17433855	16769757	15971998	18846105	22361682	18375861	18397418
sp|P97351|RS3A_MOUSE	37077016	35702946	31039013	32404212	29718912	36461137	42099127	42069339	35310219	37536070	32286018	36054311	34547889	29651228	38488186	42832076	31896812	35310219	36401212	34339092	28964771	31884384	31254963	35475706	44644311	41960593	35310219
sp|P51881|ADT2_MOUSE_family	40787322	37499158	37997390	36111367	36342783	40922091	33171109	36469613	37286728	36988267	42560207	35057000	39006826	35831772	38725504	31786359	40040020	37286728	39588820	38045275	36783600	35870443	36252447	37618404	38147402	34749941	37286728
sp|P00405|COX2_MOUSE	43738829	36020333	40309318	37475684	36017140	39487493	37088402	34165190	37858282	45860387	36203472	39334025	36636624	32590928	39342585	35500228	39843122	37858282	43991412	35781223	40636644	37191846	32595990	35659701	40115698	38001085	37858282
sp|Q8BH95|ECHM_MOUSE	38824974	32432584	46083953	38822044	38560037	34149722	31345482	35726999	37408087	39112839	34976966	45686173	37116152	39804687	38767746	28910567	33843541	37408087	37077305	31791000	46977007	38902967	41644120	37318734	32419825	31875779	37408087
