Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q9JIY2|HAKAI_MOUSE	14016069	24639164	18023963	15425310	21977981	13744266	14741040	11119275	16844383	14344450	20487086	17340436	14571639	19771526	13799528	15960349	17879302	16844383	11696701	23805456	18875480	16940076	21996164	14113719	11775800	14402749	16844383
sp|Q9DBG1|CP27A_MOUSE	16371104	22986300	16031092	18571099	15045127	17319725	17777541	12142253	16845973	17407705	14421967	17644770	20023850	14934285	17634848	19874433	13431096	16845973	15722008	25350874	14828532	19442402	13875724	16154722	14849106	12172793	16845973
sp|P62245|RS15A_MOUSE	19886692	14895354	14864843	14937105	14101590	17433954	18347499	20435373	16631501	17692803	15452216	16032718	17594546	14199391	17746676	19788177	15550746	16631501	18326241	15944582	14215351	14172694	14707762	18057946	20568977	17787133	16631501
sp|G3X982|AOXC_MOUSE_family	22969350	12183666	8657006	7939645	10665781	32113513	37352454	11625520	16640396	21928645	7301838	8960309	9379164	9263216	21850758	47874277	7226678	16640396	28111471	16181212	8494840	8982965	10996256	17595529	27258030	16064127	16640396
sp|P62918|RL8_MOUSE	17902969	15502704	14506919	15895882	14062482	17162710	18854995	19999395	16503793	17770764	15897493	15767902	15534785	15251680	17598734	19229519	15579265	16503793	17180626	16845544	14758329	14583201	15446357	16188609	19013972	19058843	16503793
sp|P97742|CPT1A_MOUSE	16055693	14063468	14908956	15185425	16369330	16998518	17783652	20044438	16361237	15771491	13788897	16811419	15708830	20554175	18772119	14655216	13793089	16361237	15692328	14733186	15412470	15495831	21773226	15098420	14703529	19929747	16361237
sp|Q3UEG6|AGT2_MOUSE	21076196	12898978	23707618	12781208	18727119	18530116	10169286	9061337	16035693	18663833	11179157	23005881	14186799	19558076	18669040	10138032	10907269	16035693	20085517	13138847	22404644	13137879	20324885	17873263	10053966	9176745	16035693
sp|P57780|ACTN4_MOUSE	15135211	18011729	16132840	16539967	16402643	16977422	16549043	16258858	16455333	14615383	16349669	17266787	15927912	15212281	17864714	17726506	16620530	16455333	15241509	17495578	16188815	16514951	16371806	18123840	15816200	15376624	16455333
sp|Q61171|PRDX2_MOUSE	16669366	15119459	17826366	16590387	17715561	16805559	16294068	14675888	16515250	19594758	14134109	17459312	17817340	15623236	16414881	16509881	14783277	16515250	17078513	15663260	18099677	16684476	14803085	18179206	16599808	14480417	16515250
sp|Q9WTP6|KAD2_MOUSE	18325353	11206852	16426148	12864014	20347160	19139895	16576829	16027915	16452836	18883409	10802837	18210119	13944324	19320141	20631869	17938655	10784071	16452836	18348338	13179166	17841941	12785946	18976610	16854603	17809415	15821098	16452836
